id,month_year,from_period,to_period,state_board_id,port_board_id,data_table_type_id,created_on,created_by_user_id
1,2017-05-01 00:00:00,,,,9,1,2018-06-14 11:20:41,28
2,2017-04-01 00:00:00,,,,9,1,2018-06-14 11:22:11,28
3,2017-06-01 00:00:00,,,,9,1,2018-06-14 11:22:57,28
4,2017-07-01 00:00:00,,,,9,1,2018-06-14 11:23:46,28
5,2017-08-01 00:00:00,,,,9,1,2018-06-14 11:24:29,28
6,2017-05-01 00:00:00,,,,9,1,2018-06-14 11:42:47,28
7,2017-06-01 00:00:00,,,,13,1,2018-06-18 12:21:01,14
8,2017-05-01 00:00:00,,,,13,1,2018-06-18 12:32:58,14
9,2017-07-01 00:00:00,,,,13,1,2018-06-18 12:34:52,14
10,2017-06-01 00:00:00,,,,8,1,2018-06-18 14:59:54,123
11,2017-06-01 00:00:00,,,,8,1,2018-06-18 15:00:20,123
12,2017-08-01 00:00:00,,,,13,1,2018-06-21 14:25:08,14
13,2017-09-01 00:00:00,,,,13,1,2018-06-21 14:25:36,14
14,2017-04-01 00:00:00,,,,8,1,2018-07-03 16:39:42,123
15,2017-05-01 00:00:00,,,,8,1,2018-07-03 16:41:33,123
16,2017-06-01 00:00:00,,,,8,1,2018-07-03 16:45:12,123
17,2017-07-01 00:00:00,,,,8,1,2018-07-03 16:50:35,123
18,2017-08-01 00:00:00,,,,8,1,2018-07-03 16:53:00,123
19,,2017-04-01 00:00:00,2018-03-01 00:00:00,,10,3,2018-07-06 15:35:31,45
20,2017-05-01 00:00:00,,,,10,1,2018-07-06 15:40:30,45
21,2017-04-01 00:00:00,,,,10,1,2018-07-06 15:45:52,45
22,2017-06-01 00:00:00,,,,10,1,2018-07-06 15:47:41,45
23,2017-07-01 00:00:00,,,,10,1,2018-07-06 15:51:05,45
24,2017-08-01 00:00:00,,,,10,1,2018-07-06 15:52:28,45
25,2017-09-01 00:00:00,,,,10,1,2018-07-06 15:53:25,45
26,2017-10-01 00:00:00,,,,10,1,2018-07-06 15:54:37,45
27,2017-11-01 00:00:00,,,,10,1,2018-07-06 15:55:53,45
28,2017-12-01 00:00:00,,,,10,1,2018-07-06 15:56:57,45
29,2018-01-01 00:00:00,,,,10,1,2018-07-06 15:57:59,45
30,2018-02-01 00:00:00,,,,10,1,2018-07-06 15:58:56,45
31,2018-03-01 00:00:00,,,,10,1,2018-07-06 15:59:57,45
32,2018-04-01 00:00:00,,,,10,1,2018-07-06 16:12:13,45
33,2017-09-01 00:00:00,,,,3,1,2018-07-25 12:06:42,54
34,2017-10-01 00:00:00,,,,3,1,2018-07-25 12:07:14,54
