id,parent_id,model,foreign_key,alias,lft,rght
1,,EmployeeRole,1,,1,4
2,1,Employee,1,,2,3
3,,EmployeeRole,2,,5,22
4,,EmployeeRole,3,,23,52
5,,EmployeeRole,4,,53,86
6,,EmployeeRole,5,,87,306
7,,EmployeeRole,6,,307,552
8,3,Employee,2,,6,7
9,3,Employee,3,,8,9
10,5,Employee,4,,54,55
11,3,Employee,5,,10,11
12,4,Employee,6,,24,25
13,3,Employee,7,,12,13
14,5,Employee,8,,56,57
15,5,Employee,9,,58,59
16,5,Employee,10,,60,61
17,5,Employee,11,,62,63
18,5,Employee,12,,64,65
19,5,Employee,13,,66,67
20,6,Employee,14,,124,125
21,5,Employee,15,,68,69
22,5,Employee,16,,70,71
23,5,Employee,17,,72,73
24,5,Employee,18,,74,75
25,6,Employee,19,,88,89
26,7,Employee,20,,308,309
27,4,Employee,21,,26,27
28,4,Employee,22,,28,29
29,4,Employee,23,,30,31
30,4,Employee,24,,32,33
31,7,Employee,25,,310,311
32,6,Employee,26,,90,91
33,7,Employee,27,,312,313
34,6,Employee,28,,92,93
35,7,Employee,29,,314,315
36,7,Employee,30,,316,317
37,6,Employee,31,,94,95
38,6,Employee,32,,170,171
39,7,Employee,33,,400,401
40,6,Employee,34,,96,97
41,7,Employee,35,,318,319
42,4,Employee,36,,34,35
43,4,Employee,37,,36,37
44,7,Employee,38,,320,321
45,6,Employee,39,,98,99
46,7,Employee,40,,322,323
47,7,Employee,41,,324,325
48,7,Employee,42,,326,327
49,6,Employee,43,,100,101
50,7,Employee,44,,328,329
51,6,Employee,45,,102,103
52,7,Employee,46,,330,331
53,,EmployeeRole,7,,553,560
54,53,Employee,47,,554,555
55,53,Employee,48,,556,557
56,5,Employee,49,,76,77
57,5,Employee,50,,78,79
58,5,Employee,51,,80,81
59,7,Employee,52,,332,333
60,7,Employee,53,,334,335
61,6,Employee,54,,104,105
62,6,Employee,55,,106,107
63,6,Employee,56,,108,109
64,6,Employee,57,,110,111
65,7,Employee,58,,336,337
66,6,Employee,59,,112,113
67,7,Employee,60,,338,339
68,7,Employee,61,,340,341
69,7,Employee,62,,342,343
70,6,Employee,63,,114,115
71,6,Employee,64,,116,117
72,6,Employee,65,,118,119
73,6,Employee,66,,120,121
74,6,Employee,67,,122,123
75,7,Employee,68,,344,345
76,7,Employee,69,,346,347
77,7,Employee,70,,348,349
78,7,Employee,71,,350,351
79,7,Employee,72,,354,355
80,7,Employee,73,,352,353
81,5,Employee,74,,82,83
82,6,Employee,75,,300,301
83,6,Employee,76,,126,127
84,6,Employee,77,,128,129
85,4,Employee,78,,38,39
86,7,Employee,79,,356,357
87,6,Employee,80,,130,131
88,6,Employee,81,,132,133
89,6,Employee,82,,134,135
90,6,Employee,83,,136,137
91,6,Employee,84,,138,139
92,7,Employee,85,,358,359
93,7,Employee,86,,360,361
94,7,Employee,87,,362,363
95,7,Employee,88,,364,365
96,6,Employee,89,,140,141
97,6,Employee,90,,142,143
98,6,Employee,91,,144,145
99,7,Employee,92,,396,397
100,7,Employee,93,,366,367
101,7,Employee,94,,368,369
102,6,Employee,95,,146,147
103,7,Employee,96,,370,371
104,6,Employee,97,,148,149
105,7,Employee,98,,372,373
106,6,Employee,99,,150,151
107,7,Employee,100,,374,375
108,6,Employee,101,,152,153
109,7,Employee,102,,376,377
110,6,Employee,103,,154,155
111,7,Employee,104,,378,379
112,4,Employee,105,,40,41
113,6,Employee,106,,156,157
114,7,Employee,107,,380,381
115,6,Employee,108,,158,159
116,6,Employee,109,,160,161
117,6,Employee,110,,162,163
118,6,Employee,111,,164,165
119,7,Employee,112,,382,383
120,7,Employee,113,,384,385
121,6,Employee,114,,166,167
122,7,Employee,115,,386,387
123,7,Employee,116,,388,389
124,7,Employee,117,,390,391
125,6,Employee,118,,168,169
126,7,Employee,119,,392,393
127,7,Employee,120,,394,395
128,7,Employee,121,,398,399
129,4,Employee,122,,42,43
130,6,Employee,123,,172,173
131,6,Employee,124,,174,175
132,7,Employee,125,,402,403
133,7,Employee,126,,404,405
134,6,Employee,127,,180,181
135,7,Employee,128,,406,407
136,6,Employee,129,,184,185
137,6,Employee,130,,182,183
138,7,Employee,131,,408,409
139,7,Employee,132,,410,411
140,7,Employee,133,,412,413
141,7,Employee,134,,414,415
142,7,Employee,135,,416,417
143,7,Employee,136,,418,419
144,6,Employee,137,,186,187
145,7,Employee,138,,420,421
146,7,Employee,139,,422,423
147,7,Employee,140,,424,425
148,7,Employee,141,,426,427
149,7,Employee,142,,428,429
150,7,Employee,143,,430,431
151,6,Employee,144,,188,189
152,7,Employee,145,,432,433
153,6,Employee,146,,178,179
154,7,Employee,147,,434,435
155,7,Employee,148,,436,437
156,7,Employee,149,,438,439
157,7,Employee,150,,440,441
158,7,Employee,151,,442,443
159,4,Employee,152,,44,45
160,5,Employee,153,,84,85
161,6,Employee,154,,176,177
162,7,Employee,155,,444,445
163,4,Employee,156,,46,47
164,6,Employee,157,,190,191
165,6,Employee,158,,192,193
166,6,Employee,159,,194,195
167,6,Employee,160,,196,197
168,6,Employee,161,,198,199
169,6,Employee,162,,200,201
170,4,Employee,163,,48,49
171,6,Employee,164,,202,203
172,6,Employee,165,,204,205
173,6,Employee,166,,206,207
174,7,Employee,167,,446,447
175,7,Employee,168,,448,449
176,7,Employee,169,,450,451
177,6,Employee,170,,208,209
178,7,Employee,171,,452,453
179,7,Employee,172,,454,455
180,6,Employee,173,,210,211
181,6,Employee,174,,212,213
182,6,Employee,175,,214,215
