id,aro_id,aco_id,_create,_read,_update,_delete
1,1,3,1,1,1,1
2,1,4,1,1,1,1
3,1,5,1,1,1,1
4,1,6,1,1,1,1
5,1,7,1,1,1,1
6,1,8,1,1,1,1
7,1,11,1,1,1,1
8,1,13,1,1,1,1
9,1,14,1,1,1,1
10,1,15,1,1,1,1
11,1,16,1,1,1,1
12,1,17,1,1,1,1
13,1,18,1,1,1,1
14,1,31,1,1,1,1
15,1,32,1,1,1,1
16,1,34,1,1,1,1
17,1,35,1,1,1,1
18,1,158,1,1,1,1
19,1,166,1,1,1,1
20,1,194,1,1,1,1
21,1,195,1,1,1,1
22,1,208,1,1,1,1
23,1,187,1,1,1,1
24,1,189,1,1,1,1
25,1,190,1,1,1,1
26,1,43,1,1,1,1
27,3,43,-1,-1,-1,-1
28,4,43,-1,-1,-1,-1
29,5,43,-1,-1,-1,-1
30,6,43,-1,-1,-1,-1
31,7,43,-1,-1,-1,-1
32,1,44,1,1,1,1
33,3,44,-1,-1,-1,-1
34,4,44,-1,-1,-1,-1
35,5,44,-1,-1,-1,-1
36,6,44,-1,-1,-1,-1
37,7,44,-1,-1,-1,-1
38,1,45,1,1,1,1
39,3,45,-1,-1,-1,-1
40,4,45,-1,-1,-1,-1
41,5,45,-1,-1,-1,-1
42,6,45,-1,-1,-1,-1
43,7,45,-1,-1,-1,-1
44,1,47,1,1,1,1
45,3,47,-1,-1,-1,-1
46,4,47,-1,-1,-1,-1
47,5,47,-1,-1,-1,-1
48,6,47,-1,-1,-1,-1
49,7,47,-1,-1,-1,-1
50,1,175,1,1,1,1
51,3,175,-1,-1,-1,-1
52,4,175,-1,-1,-1,-1
53,5,175,-1,-1,-1,-1
54,6,175,-1,-1,-1,-1
55,7,175,-1,-1,-1,-1
56,1,176,1,1,1,1
57,3,176,-1,-1,-1,-1
58,4,176,-1,-1,-1,-1
59,5,176,-1,-1,-1,-1
60,6,176,-1,-1,-1,-1
61,7,176,-1,-1,-1,-1
62,1,177,1,1,1,1
63,3,177,-1,-1,-1,-1
64,4,177,-1,-1,-1,-1
65,5,177,-1,-1,-1,-1
66,6,177,-1,-1,-1,-1
67,7,177,-1,-1,-1,-1
68,1,181,1,1,1,1
69,3,181,-1,-1,-1,-1
70,4,181,-1,-1,-1,-1
71,5,181,-1,-1,-1,-1
72,6,181,-1,-1,-1,-1
73,7,181,-1,-1,-1,-1
74,1,182,1,1,1,1
75,3,182,-1,-1,-1,-1
76,4,182,-1,-1,-1,-1
77,5,182,-1,-1,-1,-1
78,6,182,-1,-1,-1,-1
79,7,182,-1,-1,-1,-1
80,1,183,1,1,1,1
81,3,183,-1,-1,-1,-1
82,4,183,-1,-1,-1,-1
83,5,183,-1,-1,-1,-1
84,6,183,-1,-1,-1,-1
85,7,183,-1,-1,-1,-1
86,1,196,-1,-1,-1,-1
87,3,196,1,1,1,1
88,4,196,-1,-1,-1,-1
89,5,196,-1,-1,-1,-1
90,6,196,-1,-1,-1,-1
91,7,196,-1,-1,-1,-1
92,1,197,-1,-1,-1,-1
93,3,197,1,1,1,1
94,4,197,-1,-1,-1,-1
95,5,197,-1,-1,-1,-1
96,6,197,-1,-1,-1,-1
97,7,197,-1,-1,-1,-1
98,1,198,-1,-1,-1,-1
99,3,198,-1,-1,-1,-1
100,4,198,-1,-1,-1,-1
101,5,198,-1,-1,-1,-1
102,6,198,-1,-1,-1,-1
103,7,198,-1,-1,-1,-1
104,1,199,-1,-1,-1,-1
105,3,199,-1,-1,-1,-1
106,4,199,-1,-1,-1,-1
107,5,199,-1,-1,-1,-1
108,6,199,-1,-1,-1,-1
109,7,199,-1,-1,-1,-1
110,1,202,-1,-1,-1,-1
111,3,202,-1,-1,-1,-1
112,4,202,-1,-1,-1,-1
113,5,202,1,1,1,1
114,6,202,-1,-1,-1,-1
115,7,202,-1,-1,-1,-1
116,1,203,-1,-1,-1,-1
117,3,203,-1,-1,-1,-1
118,4,203,-1,-1,-1,-1
119,5,203,1,1,1,1
120,6,203,-1,-1,-1,-1
121,7,203,-1,-1,-1,-1
122,1,204,-1,-1,-1,-1
123,3,204,-1,-1,-1,-1
124,4,204,-1,-1,-1,-1
125,5,204,1,1,1,1
126,6,204,-1,-1,-1,-1
127,7,204,-1,-1,-1,-1
128,1,205,-1,-1,-1,-1
129,3,205,-1,-1,-1,-1
130,4,205,-1,-1,-1,-1
131,5,205,1,1,1,1
132,6,205,-1,-1,-1,-1
133,7,205,-1,-1,-1,-1
134,3,208,1,1,1,1
135,4,208,1,1,1,1
136,5,208,1,1,1,1
137,6,208,1,1,1,1
138,7,208,1,1,1,1
139,1,216,1,1,1,1
140,3,216,-1,-1,-1,-1
141,4,216,-1,-1,-1,-1
142,5,216,-1,-1,-1,-1
143,6,216,-1,-1,-1,-1
144,7,216,-1,-1,-1,-1
145,1,217,1,1,1,1
146,3,217,1,1,1,1
147,4,217,1,1,1,1
148,5,217,1,1,1,1
149,6,217,1,1,1,1
150,7,217,1,1,1,1
151,1,243,1,1,1,1
152,3,243,-1,-1,-1,-1
153,4,243,-1,-1,-1,-1
154,5,243,-1,-1,-1,-1
155,6,243,-1,-1,-1,-1
156,7,243,-1,-1,-1,-1
157,1,244,1,1,1,1
158,3,244,-1,-1,-1,-1
159,4,244,-1,-1,-1,-1
160,5,244,-1,-1,-1,-1
161,6,244,-1,-1,-1,-1
162,7,244,-1,-1,-1,-1
163,1,245,1,1,1,1
164,3,245,-1,-1,-1,-1
165,4,245,-1,-1,-1,-1
166,5,245,-1,-1,-1,-1
167,6,245,-1,-1,-1,-1
168,7,245,-1,-1,-1,-1
169,1,20,-1,-1,-1,-1
170,3,20,-1,-1,-1,-1
171,4,20,-1,-1,-1,-1
172,5,20,-1,-1,-1,-1
173,6,20,-1,-1,-1,-1
174,7,20,1,1,1,1
175,1,21,-1,-1,-1,-1
176,3,21,-1,-1,-1,-1
177,4,21,-1,-1,-1,-1
178,5,21,-1,-1,-1,-1
179,6,21,1,1,1,1
180,7,21,1,1,1,1
181,1,22,-1,-1,-1,-1
182,3,22,-1,-1,-1,-1
183,4,22,-1,-1,-1,-1
184,5,22,-1,-1,-1,-1
185,6,22,1,1,1,1
186,7,22,1,1,1,1
187,1,23,-1,-1,-1,-1
188,3,23,-1,-1,-1,-1
189,4,23,-1,-1,-1,-1
190,5,23,-1,-1,-1,-1
191,6,23,1,1,1,1
192,7,23,1,1,1,1
193,1,24,-1,-1,-1,-1
194,3,24,-1,-1,-1,-1
195,4,24,-1,-1,-1,-1
196,5,24,-1,-1,-1,-1
197,6,24,1,1,1,1
198,7,24,1,1,1,1
199,1,25,-1,-1,-1,-1
200,3,25,-1,-1,-1,-1
201,4,25,-1,-1,-1,-1
202,5,25,-1,-1,-1,-1
203,6,25,1,1,1,1
204,7,25,-1,-1,-1,-1
205,1,26,-1,-1,-1,-1
206,3,26,1,1,1,1
207,4,26,-1,-1,-1,-1
208,5,26,-1,-1,-1,-1
209,6,26,-1,-1,-1,-1
210,7,26,-1,-1,-1,-1
211,1,27,-1,-1,-1,-1
212,3,27,1,1,1,1
213,4,27,-1,-1,-1,-1
214,5,27,-1,-1,-1,-1
215,6,27,-1,-1,-1,-1
216,7,27,-1,-1,-1,-1
217,1,28,-1,-1,-1,-1
218,3,28,1,1,1,1
219,4,28,-1,-1,-1,-1
220,5,28,-1,-1,-1,-1
221,6,28,-1,-1,-1,-1
222,7,28,-1,-1,-1,-1
223,1,38,-1,-1,-1,-1
224,3,38,1,1,1,1
225,4,38,-1,-1,-1,-1
226,5,38,-1,-1,-1,-1
227,6,38,-1,-1,-1,-1
228,7,38,-1,-1,-1,-1
229,1,39,-1,-1,-1,-1
230,3,39,1,1,1,1
231,4,39,-1,-1,-1,-1
232,5,39,-1,-1,-1,-1
233,6,39,-1,-1,-1,-1
234,7,39,-1,-1,-1,-1
235,1,40,-1,-1,-1,-1
236,3,40,1,1,1,1
237,4,40,-1,-1,-1,-1
238,5,40,-1,-1,-1,-1
239,6,40,-1,-1,-1,-1
240,7,40,-1,-1,-1,-1
241,1,50,-1,-1,-1,-1
242,3,50,1,1,1,1
243,4,50,-1,-1,-1,-1
244,5,50,-1,-1,-1,-1
245,6,50,-1,-1,-1,-1
246,7,50,-1,-1,-1,-1
247,1,51,-1,-1,-1,-1
248,3,51,1,1,1,1
249,4,51,-1,-1,-1,-1
250,5,51,-1,-1,-1,-1
251,6,51,-1,-1,-1,-1
252,7,51,-1,-1,-1,-1
253,1,52,-1,-1,-1,-1
254,3,52,1,1,1,1
255,4,52,-1,-1,-1,-1
256,5,52,-1,-1,-1,-1
257,6,52,-1,-1,-1,-1
258,7,52,-1,-1,-1,-1
259,1,55,-1,-1,-1,-1
260,3,55,-1,-1,-1,-1
261,4,55,-1,-1,-1,-1
262,5,55,-1,-1,-1,-1
263,6,55,-1,-1,-1,-1
264,7,55,1,1,1,1
265,1,56,-1,-1,-1,-1
266,3,56,-1,-1,-1,-1
267,4,56,-1,-1,-1,-1
268,5,56,-1,-1,-1,-1
269,6,56,1,1,1,1
270,7,56,-1,-1,-1,-1
271,1,57,-1,-1,-1,-1
272,3,57,-1,-1,-1,-1
273,4,57,-1,-1,-1,-1
274,5,57,-1,-1,-1,-1
275,6,57,1,1,1,1
276,7,57,1,1,1,1
277,1,58,-1,-1,-1,-1
278,3,58,-1,-1,-1,-1
279,4,58,-1,-1,-1,-1
280,5,58,-1,-1,-1,-1
281,6,58,1,1,1,1
282,7,58,1,1,1,1
283,1,59,-1,-1,-1,-1
284,3,59,-1,-1,-1,-1
285,4,59,-1,-1,-1,-1
286,5,59,-1,-1,-1,-1
287,6,59,1,1,1,1
288,7,59,1,1,1,1
289,1,60,-1,-1,-1,-1
290,3,60,-1,-1,-1,-1
291,4,60,-1,-1,-1,-1
292,5,60,-1,-1,-1,-1
293,6,60,1,1,1,1
294,7,60,1,1,1,1
295,1,61,-1,-1,-1,-1
296,3,61,-1,-1,-1,-1
297,4,61,-1,-1,-1,-1
298,5,61,-1,-1,-1,-1
299,6,61,1,1,1,1
300,7,61,-1,-1,-1,-1
301,1,62,-1,-1,-1,-1
302,3,62,1,1,1,1
303,4,62,-1,-1,-1,-1
304,5,62,-1,-1,-1,-1
305,6,62,-1,-1,-1,-1
306,7,62,-1,-1,-1,-1
307,1,63,-1,-1,-1,-1
308,3,63,1,1,1,1
309,4,63,-1,-1,-1,-1
310,5,63,-1,-1,-1,-1
311,6,63,-1,-1,-1,-1
312,7,63,-1,-1,-1,-1
313,1,64,-1,-1,-1,-1
314,3,64,1,1,1,1
315,4,64,-1,-1,-1,-1
316,5,64,-1,-1,-1,-1
317,6,64,-1,-1,-1,-1
318,7,64,-1,-1,-1,-1
319,1,200,-1,-1,-1,-1
320,3,200,1,1,1,1
321,4,200,-1,-1,-1,-1
