id,coastal_container_traffic_master_id,period,state_board_id,port_board_id,traffic_data,status,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
1,1,2017,,8,6599.000,Approved,2017-05-12 16:05:08,35,,2017-04-20 16:23:25,
2,2,2017,,8,102600.000,Approved,2017-05-12 16:05:08,35,,2017-04-20 16:23:25,
3,3,2017,,8,78949.000,Approved,2017-05-12 16:05:08,35,,2017-04-20 16:23:25,
4,4,2017,,8,1259.000,Approved,2017-05-12 16:05:08,35,,2017-04-20 16:23:25,
5,1,2017,,10,29632.000,Approved,2017-05-19 17:15:41,61,45,2017-05-16 15:49:11,2017-05-19 17:15:41
6,2,2017,,10,3521.000,Approved,2017-05-19 17:15:41,61,45,2017-05-16 15:49:11,2017-05-19 17:15:41
7,3,2017,,10,5591.000,Approved,2017-05-19 17:15:41,61,45,2017-05-16 15:49:11,2017-05-19 17:15:41
8,4,2017,,10,4489.000,Approved,2017-05-19 17:15:41,61,45,2017-05-16 15:49:11,2017-05-19 17:15:41
9,1,2016,,10,25537.000,Approved,2017-05-22 10:58:25,61,,2017-05-22 09:29:59,
10,2,2016,,10,3901.000,Approved,2017-05-22 10:58:25,61,,2017-05-22 09:29:59,
11,3,2016,,10,2199.000,Approved,2017-05-22 10:58:25,61,,2017-05-22 09:29:59,
12,4,2016,,10,6048.000,Approved,2017-05-22 10:58:25,61,,2017-05-22 09:29:59,
13,1,2017,,11,14976.000,Approved,2017-07-28 12:36:11,30,,2017-07-28 11:46:16,
14,2,2017,,11,3993.000,Approved,2017-07-28 12:36:11,30,,2017-07-28 11:46:16,
15,3,2017,,11,4887.000,Approved,2017-07-28 12:36:11,30,,2017-07-28 11:46:16,
16,4,2017,,11,7404.000,Approved,2017-07-28 12:36:11,30,,2017-07-28 11:46:16,
17,1,2017,9,50,0.000,Approved,2017-10-10 16:47:50,113,,2017-09-25 09:39:40,
18,2,2017,9,50,0.000,Approved,2017-10-10 16:47:50,113,,2017-09-25 09:39:40,
