id,commodities_group_wise_id,state_board_id,port_board_id,month_year,loaded,unloaded,total,status,created_by_user_id,updated_by_user_id,approved_on,created_on,modified_on,data_updated_no_of_times,last_data_updated_on,last_data_updated_by_user_id
1,1,,8,2017-02-01 00:00:00,239042.000,1203777.000,1442819.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
2,2,,8,2017-02-01 00:00:00,0.000,71115.000,71115.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
3,3,,8,2017-02-01 00:00:00,0.000,0.000,0.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
4,4,,8,2017-02-01 00:00:00,0.000,0.000,0.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
5,5,,8,2017-02-01 00:00:00,0.000,0.000,0.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
6,6,,8,2017-02-01 00:00:00,0.000,0.000,0.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
7,7,,8,2017-02-01 00:00:00,0.000,0.000,0.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
8,8,,8,2017-02-01 00:00:00,0.000,0.000,0.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
9,9,,8,2017-02-01 00:00:00,198219.000,318861.000,517080.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
10,10,,8,2017-02-01 00:00:00,0.000,0.000,0.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
11,11,,8,2017-02-01 00:00:00,0.000,103749.000,103749.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
12,12,,8,2017-02-01 00:00:00,0.000,0.000,0.000,Approved,35,34,2017-03-14 15:02:54,2017-03-02 14:23:42,2017-03-14 15:02:54,0,,
13,1,,8,2016-04-01 00:00:00,62791.000,1168939.000,1231730.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
14,2,,8,2016-04-01 00:00:00,0.000,101755.000,101755.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
15,3,,8,2016-04-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
16,4,,8,2016-04-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
17,5,,8,2016-04-01 00:00:00,0.000,25000.000,25000.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
18,6,,8,2016-04-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
19,7,,8,2016-04-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
20,8,,8,2016-04-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
21,9,,8,2016-04-01 00:00:00,160806.000,412995.000,573801.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
22,10,,8,2016-04-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
23,11,,8,2016-04-01 00:00:00,0.000,55918.000,55918.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
24,12,,8,2016-04-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:15:48,2017-03-02 16:06:29,,0,,
25,1,,8,2016-05-01 00:00:00,131307.000,1009615.000,1140922.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
26,2,,8,2016-05-01 00:00:00,0.000,41162.000,41162.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
27,3,,8,2016-05-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
28,4,,8,2016-05-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
29,5,,8,2016-05-01 00:00:00,0.000,15232.000,15232.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
30,6,,8,2016-05-01 00:00:00,0.000,44000.000,44000.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
31,7,,8,2016-05-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
32,8,,8,2016-05-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
33,9,,8,2016-05-01 00:00:00,175168.000,397569.000,572737.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
34,10,,8,2016-05-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
35,11,,8,2016-05-01 00:00:00,0.000,143201.000,143201.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
36,12,,8,2016-05-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:08,2017-03-02 16:14:02,,0,,
37,1,,8,2016-06-01 00:00:00,175734.000,1218646.000,1394380.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
38,2,,8,2016-06-01 00:00:00,4924.000,92392.000,97316.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
39,3,,8,2016-06-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
40,4,,8,2016-06-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
41,5,,8,2016-06-01 00:00:00,0.000,16488.000,16488.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
42,6,,8,2016-06-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
43,7,,8,2016-06-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
44,8,,8,2016-06-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
45,9,,8,2016-06-01 00:00:00,173414.000,369658.000,543072.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
46,10,,8,2016-06-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
47,11,,8,2016-06-01 00:00:00,1771.000,62295.000,64066.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
48,12,,8,2016-06-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:17:54,2017-03-02 16:24:29,,0,,
49,1,,8,2016-07-01 00:00:00,143028.000,958748.000,1101776.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
50,2,,8,2016-07-01 00:00:00,0.000,34201.000,34201.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
51,3,,8,2016-07-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
52,4,,8,2016-07-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
53,5,,8,2016-07-01 00:00:00,0.000,34139.000,34139.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
54,6,,8,2016-07-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
55,7,,8,2016-07-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
56,8,,8,2016-07-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
57,9,,8,2016-07-01 00:00:00,161459.000,349345.000,510804.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
58,10,,8,2016-07-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
59,11,,8,2016-07-01 00:00:00,0.000,81914.000,81914.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
60,12,,8,2016-07-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:18:40,2017-03-02 16:30:24,,0,,
61,1,,8,2016-08-01 00:00:00,184120.000,1069362.000,1253482.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
62,2,,8,2016-08-01 00:00:00,2000.000,129470.000,131470.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
63,3,,8,2016-08-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
64,4,,8,2016-08-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
65,5,,8,2016-08-01 00:00:00,0.000,25833.000,25833.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
66,6,,8,2016-08-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
67,7,,8,2016-08-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
68,8,,8,2016-08-01 00:00:00,0.000,0.000,0.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
69,9,,8,2016-08-01 00:00:00,193611.000,413429.000,607040.000,Approved,35,,2017-03-14 15:19:19,2017-03-02 16:35:13,,0,,
