id,month_year,state_board_id,port_board_id,port_type,company_code,company_name,status,data_submitted_for_approval_on,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
3,2021-06-01 00:00:00,,11,Major,122,BEN LINE AGENCIES INDIA PVT LTD,Approved,,,30,,2021-07-14 16:07:38,
5,2021-06-01 00:00:00,,10,Major,110,SIMA MARINE INDIA PVT LTD,Approved,,,61,,2021-07-15 10:50:14,
7,2021-06-01 00:00:00,,11,Major,115,CMA CGM AGENCIES,Approved,,,30,,2021-07-15 15:52:16,
8,2021-06-01 00:00:00,,11,Major,104,COSCO SHIPPING LINE,Approved,,,30,,2021-07-15 15:52:16,
9,2021-06-01 00:00:00,,11,Major,116,EMIRATES SHIPPING AGENCIES INDIA ,Approved,,,30,,2021-07-15 15:52:16,
10,2021-06-01 00:00:00,,11,Major,119,EVERGREEN SHIPPING AGENCY INDIA,Approved,,,30,,2021-07-15 15:52:16,
11,2021-06-01 00:00:00,,11,Major,113,FEEDERTECH SHIPPING INDIA PVT LTD,Approved,,,30,,2021-07-15 15:52:16,
12,2021-06-01 00:00:00,,11,Major,117,HAPAG LLOYD I  PVT ,Approved,,,30,,2021-07-15 15:52:16,
13,2021-06-01 00:00:00,,11,Major,105,HYUNDAI MERCHANT MARINE,Approved,,,30,,2021-07-15 15:52:16,
14,2021-06-01 00:00:00,,11,Major,114,INTER ASIA SHIPPING LINES PVT ,Approved,,,30,,2021-07-15 15:52:16,
15,2021-06-01 00:00:00,,11,Major,106,KOREA MARINE TRANSPORT CONTAIN,Approved,,,30,,2021-07-15 15:52:16,
16,2021-06-01 00:00:00,,11,Major,129,MAERSK,Approved,,,30,,2021-07-15 15:52:16,
17,2021-06-01 00:00:00,,11,Major,118,MSC AGENCY INDIA PRIVAT LIMITED,Approved,,,30,,2021-07-15 15:52:16,
18,2021-06-01 00:00:00,,11,Major,107,OCEAN NEXWORK EXPRESS,Approved,,,30,,2021-07-15 15:52:16,
19,2021-06-01 00:00:00,,11,Major,108,ORIENT OVERSEAS CONTAINER LINE ,Approved,,,30,,2021-07-15 15:52:16,
20,2021-06-01 00:00:00,,11,Major,120,POSEIDON SHIPPING AGENCY PVT LTD,Approved,,,30,,2021-07-15 15:52:16,
21,2021-06-01 00:00:00,,11,Major,124,PRUDENTIAL GLOBAL LOGISTICS INDIA,Approved,,,30,,2021-07-15 15:52:16,
22,2021-06-01 00:00:00,,11,Major,125,SAMSARA SHIPPING ,Approved,,,30,,2021-07-15 15:52:16,
23,2021-06-01 00:00:00,,11,Major,128,SEA CONSORTIUM SHIPPING INDIA,Approved,,,30,,2021-07-15 15:52:16,
24,2021-06-01 00:00:00,,11,Major,121,SHAHI SHIPPING LIMITED,Approved,,,30,,2021-07-15 15:52:16,
25,2021-06-01 00:00:00,,11,Major,110,SIMA MARINE INDIA ,Approved,,,30,,2021-07-15 15:52:16,
26,2021-06-01 00:00:00,,11,Major,127,STAR SHIPPING SERVICES I P LTD,Approved,,,30,,2021-07-15 15:52:16,
27,2021-06-01 00:00:00,,11,Major,112,T.S. LINES INDIA PVT LTD,Approved,,,30,,2021-07-15 15:52:16,
28,2021-06-01 00:00:00,,10,Major,110,SIMA MARINE INDIA PVT LTD,Approved,,,61,,2021-07-15 16:40:54,
29,2021-06-01 00:00:00,,11,Major,130,EFMS,Approved,,,31,,2021-07-19 11:30:15,
32,2021-06-01 00:00:00,,11,Major,132,IRIPL,Approved,,,31,,2021-07-19 11:33:01,
33,2021-06-01 00:00:00,,11,Major,134,SBMAPL,Approved,,,31,,2021-07-19 11:34:12,
34,2021-06-01 00:00:00,,11,Major,131,SCI,Approved,,,31,,2021-07-19 11:34:45,
35,2021-06-01 00:00:00,,11,Major,133,TSAPL,Approved,,,31,,2021-07-19 11:35:01,
36,2021-06-01 00:00:00,,11,Major,135,PMSPL,Approved,,,31,,2021-07-22 13:08:08,
