id,container_transhipment_master_id,period,state_board_id,port_board_id,transhipment_data,status,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
1,1,2017,,8,4890.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
2,2,2017,,8,13104.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
3,3,2017,,8,15.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
4,4,2017,,8,145814.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
5,5,2017,,8,36903.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
6,6,2017,,8,66345.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
7,7,2017,,8,171712.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
8,8,2017,,8,18695.000,Approved,2017-05-12 16:04:37,35,,2017-04-20 13:40:21,
9,1,2017,,7,31.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
10,2,2017,,7,0.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
11,3,2017,,7,0.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
12,4,2017,,7,373587.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
13,5,2017,,7,15205.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
14,6,2017,,7,1098.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
15,7,2017,,7,92531.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
16,8,2017,,7,1572247.000,Approved,2017-07-28 10:33:01,20,,2017-07-28 10:32:02,
17,1,2016,,7,1756.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
18,2,2016,,7,1018.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
19,3,2016,,7,0.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
20,4,2016,,7,430650.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
21,5,2016,,7,9199.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
22,6,2016,,7,752.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
23,7,2016,,7,77989.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
24,8,2016,,7,88925.000,Approved,2017-07-28 10:35:47,20,,2017-07-28 10:34:29,
25,1,2017,,11,615.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
26,2,2017,,11,421.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
27,3,2017,,11,0.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
28,4,2017,,11,3006.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
29,5,2017,,11,956.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
30,6,2017,,11,25616.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
31,7,2017,,11,18143.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
32,8,2017,,11,2934337.000,Approved,2017-07-28 12:35:46,30,,2017-07-28 11:43:43,
33,1,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
34,2,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
35,3,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
36,4,2016,,10,21536.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
37,5,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
38,6,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
39,7,2016,,10,4001.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
40,8,2016,,10,0.000,Approved,2017-07-29 12:30:11,61,,2017-07-29 12:27:34,
41,1,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
42,2,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
43,3,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
44,4,2017,,10,26111.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
45,5,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
46,6,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
47,7,2017,,10,3521.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
48,8,2017,,10,0.000,Approved,2017-07-29 12:30:27,61,,2017-07-29 12:29:04,
49,1,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
50,2,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
51,3,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
52,4,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
53,5,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
54,6,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
55,7,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
56,8,2016,9,50,0.000,Approved,2017-10-10 16:47:12,113,,2017-09-27 09:54:27,
57,1,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
58,2,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
59,3,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
60,4,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
61,5,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
62,6,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
63,7,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
64,8,2017,9,50,0.000,Approved,2017-10-10 16:47:22,113,,2017-09-27 09:54:38,
65,1,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
66,2,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
67,3,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
68,4,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
69,5,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
70,6,2017,9,48,2.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
71,7,2017,9,48,21.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
72,8,2017,9,48,0.000,Approved,2017-10-09 14:36:30,112,,2017-10-03 17:13:05,
73,1,2018,,8,4607.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
74,2,2018,,8,15176.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
75,3,2018,,8,0.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
76,4,2018,,8,153847.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
77,5,2018,,8,41136.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
78,6,2018,,8,67151.000,Approved,2018-08-13 16:44:19,35,,2018-05-03 10:19:12,
