id,company_code,company_name,company_name_description,created_on
1,101,APL,AMERICAN PRESIDENT LINE,2020-10-01 12:28:55
2,102,BTL,BENGAL TIGER LINE ,2020-10-01 14:23:51
3,103,AMP,AISSA MARITIME PVT LTD,2020-10-01 14:24:41
4,104,COSCO,COSCO SHIPPING LINE,2020-10-01 14:25:38
5,105,HMM,HYUNDAI MERCHANT MARINE,2020-10-01 14:26:08
6,106,KMTC,KOREA MARINE TRANSPORT CONTAIN,2020-11-22 13:54:31
7,107,ONE,OCEAN NETWORK EXPRESS,2020-11-22 13:55:27
8,108,OOCL,ORIENT OVERSEAS CONTAINER LINE,2020-11-22 13:55:56
9,109,RCL,REGIONAL CONTAINER LINES,2020-11-22 13:56:23
10,110,SMI,SIMAMARINE ,2020-11-22 13:57:01
11,111,TCI,TRANSPORT CORPORATION OF INDIA,2020-11-22 13:57:32
12,112,TSL,T S LINES INDIA  PVT  LTD,2020-11-22 13:58:21
13,113,FTS,FEEDERTECH SHIPPING INDIA PVT LTD,2020-11-22 13:59:06
14,114,INTERASIA,INTER ASIA SHIPPING LINES PVT ,2020-11-22 14:00:54
15,115,CMA,CMA CGM Agencies,2020-11-22 14:03:45
16,116,ESA,EMIRATES SHIPPING AGENCIES INDIA,2020-11-22 14:05:47
17,117,HLI,HAPAG LLOYD I PVT,2020-11-22 14:08:34
18,118,MSC,MSC AGENCY  INDIA PRIVATE LIMITED,2020-11-22 14:10:09
19,119,EGSA,EVERGREEN SHIPPING AGENCY INDIA,2020-11-22 14:23:28
20,120,PEDSA,POSEIDON SHIPPING AGENCY PVT LTD,2020-11-22 14:24:56
21,121,SSL,SHAHI SHIPPING LIMITED,2020-11-22 14:25:44
22,122,BEN,BEN LINE AGENCIES INDIA PVT LTD,2020-11-22 14:30:45
23,123,JMB,J  M  BAXI  AND  CO ,2020-11-22 14:32:47
24,124,PGLI,PRUDENTIAL GLOBAL LOGISTICS INDIA,2020-11-22 14:33:58
25,125,SAMS,SAMSARA SHIPPING,2020-11-22 14:34:58
26,126,SRES,SHREYAS SHIPPING AND LOGISTICS LTD,2020-11-22 14:36:45
27,127,STSS,STAR SHIPPING SERVICE I P LTD,2020-11-22 14:38:41
28,128,SECS,SEA CONSORTIUM SHIPPING INDIA,2020-11-22 14:40:13
29,129,MSK,MAERSK,2020-11-22 14:43:34
30,130,EFMS,EFFICIENT MARINE SERVICES LLP,2021-07-16 13:56:41
31,131,SCI,SHIPPING CORPORATION OF INDIA,2021-07-16 13:57:33
