id,month_year,state_board_id,port_board_id,port_type,imo_code,ship_name_port,number_ship_calls,average_concc_teus,size_conve_teus,status,data_submitted_for_approval_on,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
483,2021-04-01 00:00:00,,3,Major,9112698,DANU BHUM,1,1018,168,Approved,,,40,,2021-07-24 18:39:34,
485,2021-04-01 00:00:00,,3,Major,9157662,SSL KUTCH,1,1725,390,Approved,,,40,,2021-07-24 18:39:34,
486,2021-05-01 00:00:00,,3,Major,9112698,DANU BHUM,1,1018,117,Approved,,,40,,2021-07-24 18:39:48,
487,2021-05-01 00:00:00,,3,Major,9157662,SSL KUTCH,2,1725,486,Approved,,,40,,2021-07-24 18:39:48,
488,2021-06-01 00:00:00,,3,Major,9112698,DANU BHUM,2,1018,350,Approved,,,40,,2021-07-24 18:39:58,
489,2021-06-01 00:00:00,,3,Major,9157662,SSL KUTCH,1,1725,201,Approved,,,40,,2021-07-24 18:39:58,
490,2021-06-01 00:00:00,,3,Major,9137533,SSL GUJARAT,1,1613,257,Approved,,,40,,2021-07-24 18:39:58,
495,2021-06-01 00:00:00,,11,Major,9461867,APL CHONGQING,1,10105,10105,Approved,,,30,,2021-07-29 12:03:01,
496,2021-06-01 00:00:00,,11,Major,9403621,APL NORWAY,1,6310,6310,Approved,,,30,,2021-07-29 12:03:01,
497,2021-06-01 00:00:00,,11,Major,9408841,ARISTOMENIS,1,9954,9954,Approved,,,30,,2021-07-29 12:03:01,
498,2021-06-01 00:00:00,,11,Major,9311799,AS CHRISTIANA,1,2700,2700,Approved,,,30,,2021-07-29 12:03:01,
499,2021-06-01 00:00:00,,11,Major,9408865,ATHENIAN,1,10000,10000,Approved,,,30,,2021-07-29 12:03:01,
500,2021-06-01 00:00:00,,11,Major,9303754,AVNI,1,3400,3400,Approved,,,30,,2021-07-29 12:03:01,
501,2021-06-01 00:00:00,,11,Major,9409041,BALTIC WEST,1,4228,4228,Approved,,,30,,2021-07-29 12:03:01,
502,2021-06-01 00:00:00,,11,Major,9484558,BEA SCHULTE,1,4616,4616,Approved,,,30,,2021-07-29 12:03:01,
503,2021-06-01 00:00:00,,11,Major,9229855,BERLIN EXPRESS,1,7506,7506,Approved,,,30,,2021-07-29 12:03:01,
504,2021-06-01 00:00:00,,11,Major,9395927,BERMUDA,1,4300,4300,Approved,,,30,,2021-07-29 12:03:01,
505,2021-06-01 00:00:00,,11,Major,9235402,BOMAR RADIANT,1,2456,2456,Approved,,,30,,2021-07-29 12:03:01,
506,2021-06-01 00:00:00,,11,Major,9246310,BSL LIMASSOL,3,7500,2500,Approved,,,30,,2021-07-29 12:03:01,
507,2021-06-01 00:00:00,,11,Major,9571313,CAPE MANILA,2,5600,2800,Approved,,,30,,2021-07-29 12:03:01,
508,2021-06-01 00:00:00,,11,Major,9676199,CAPE MONTEREY,1,2190,2190,Approved,,,30,,2021-07-29 12:03:01,
509,2021-06-01 00:00:00,,11,Major,9308405,CAPE MORETON,2,5400,2700,Approved,,,30,,2021-07-29 12:03:01,
510,2021-06-01 00:00:00,,11,Major,9330496,CELSIUS NICOSIA,1,3450,3450,Approved,,,30,,2021-07-29 12:03:01,
511,2021-06-01 00:00:00,,11,Major,9238765,CHESAPEAKE BAY,1,4253,4253,Approved,,,30,,2021-07-29 12:03:01,
512,2021-06-01 00:00:00,,11,Major,9365790,CMA CGM BUTTERFLY,1,9661,9661,Approved,,,30,,2021-07-29 12:03:01,
513,2021-06-01 00:00:00,,11,Major,9449819,CMA CGM CENDRILLON,1,8465,8465,Approved,,,30,,2021-07-29 12:03:01,
514,2021-06-01 00:00:00,,11,Major,9364992,CMA CGM ORFEO,1,9661,9661,Approved,,,30,,2021-07-29 12:03:01,
515,2021-06-01 00:00:00,,11,Major,9299654,CMA CGM RIGOLETTO,1,9415,9415,Approved,,,30,,2021-07-29 12:03:01,
516,2021-06-01 00:00:00,,11,Major,9290426,CSL SANTA MARIA,1,5047,5047,Approved,,,30,,2021-07-29 12:03:01,
517,2021-06-01 00:00:00,,11,Major,9670822,EMIRATES ASANTE,1,3868,3868,Approved,,,30,,2021-07-29 12:03:01,
518,2021-06-01 00:00:00,,11,Major,9116589,EVER UNITED,1,5364,5364,Approved,,,30,,2021-07-29 12:03:01,
519,2021-06-01 00:00:00,,11,Major,9169158,EVER UNITY,1,5652,5652,Approved,,,30,,2021-07-29 12:03:01,
520,2021-06-01 00:00:00,,11,Major,9337262,FRISIA AMSTERDAM,1,2824,2824,Approved,,,30,,2021-07-29 12:03:01,
521,2021-06-01 00:00:00,,11,Major,9187875,GEMINI,2,4904,2452,Approved,,,30,,2021-07-29 12:03:01,
522,2021-06-01 00:00:00,,11,Major,9302073,GEORGE WASHINGTON BRIDGE,1,5610,5610,Approved,,,30,,2021-07-29 12:03:01,
523,2021-06-01 00:00:00,,11,Major,9704661,GFS GISELLE,2,8700,4350,Approved,,,30,,2021-07-29 12:03:01,
524,2021-06-01 00:00:00,,11,Major,9320051,GFS PEARL,1,2700,2700,Approved,,,30,,2021-07-29 12:03:01,
525,2021-06-01 00:00:00,,11,Major,9374442,GH ZEPHYR,1,2578,2578,Approved,,,30,,2021-07-29 12:03:01,
526,2021-06-01 00:00:00,,11,Major,9385609,GIBE,1,1364,1364,Approved,,,30,,2021-07-29 12:03:01,
527,2021-06-01 00:00:00,,11,Major,9302097,GLEN CANYON,1,5642,5642,Approved,,,30,,2021-07-29 12:03:01,
528,2021-06-01 00:00:00,,11,Major,9285689,GSL KALLIOPI,1,7455,7455,Approved,,,30,,2021-07-29 12:03:01,
529,2021-06-01 00:00:00,,11,Major,9256482,GSL NINGBO,1,7731,7731,Approved,,,30,,2021-07-29 12:03:01,
530,2021-06-01 00:00:00,,11,Major,9464314,GULF BARAKAH,2,8600,4300,Approved,,,30,,2021-07-29 12:03:01,
531,2021-06-01 00:00:00,,11,Major,9155377,HANSA RENDSBURG,1,1718,1635,Approved,,,30,,2021-07-29 12:03:01,
532,2021-06-01 00:00:00,,11,Major,9323510,HYUNDAI BANGKOK,1,6987,6987,Approved,,,30,,2021-07-29 12:03:01,
533,2021-06-01 00:00:00,,11,Major,9323508,HYUNDAI COLOMBO,1,6987,6987,Approved,,,30,,2021-07-29 12:03:01,
534,2021-06-01 00:00:00,,11,Major,9305661,HYUNDAI HONGKONG,1,6763,6763,Approved,,,30,,2021-07-29 12:03:01,
535,2021-06-01 00:00:00,,11,Major,9637155,HYUNDAI PLATINUM,1,5023,5023,Approved,,,30,,2021-07-29 12:03:01,
536,2021-06-01 00:00:00,,11,Major,9625554,HYUNDAI PRIVILEGE,1,5023,5023,Approved,,,30,,2021-07-29 12:03:01,
537,2021-06-01 00:00:00,,11,Major,9140061,IAL001,1,908,908,Approved,,,30,,2021-07-29 12:03:01,
538,2021-06-01 00:00:00,,11,Major,9189500,IAN H,1,5936,5936,Approved,,,30,,2021-07-29 12:03:01,
539,2021-06-01 00:00:00,,11,Major,9261449,IKARIA,1,4492,4492,Approved,,,30,,2021-07-29 12:03:01,
540,2021-06-01 00:00:00,,11,Major,9169500,INTER SYDNEY,2,6708,3354,Approved,,,30,,2021-07-29 12:03:01,
541,2021-06-01 00:00:00,,11,Major,9439711,INTERASIA CATALYST,1,4250,4250,Approved,,,30,,2021-07-29 12:03:01,
542,2021-06-01 00:00:00,,11,Major,9351050,INTERASIA HORIZON,1,4250,4250,Approved,,,30,,2021-07-29 12:03:01,
543,2021-06-01 00:00:00,,11,Major,9532288,JAKARTA VOYAGER,1,2535,2535,Approved,,,30,,2021-07-29 12:03:01,
544,2021-06-01 00:00:00,,11,Major,9215191,JOSEPHINE MAERSK,2,5666,2833,Approved,,,30,,2021-07-29 12:03:01,
545,2021-06-01 00:00:00,,11,Major,9270696,KASHAN,2,4400,2200,Approved,,,30,,2021-07-29 12:03:01,
546,2021-06-01 00:00:00,,11,Major,9347437,KMTC COLOMBO,1,6655,6655,Approved,,,30,,2021-07-29 12:03:01,
547,2021-06-01 00:00:00,,11,Major,9723928,KMTC DUBAI,1,5466,5466,Approved,,,30,,2021-07-29 12:03:01,
548,2021-06-01 00:00:00,,11,Major,9347449,KMTC MUNDRA,1,6655,6655,Approved,,,30,,2021-07-29 12:03:01,
549,2021-06-01 00:00:00,,11,Major,9461489,KOI,1,8586,8586,Approved,,,30,,2021-07-29 12:03:01,
550,2021-06-01 00:00:00,,11,Major,9307059,LEO PARAMOUNT,1,6350,6350,Approved,,,30,,2021-07-29 12:03:01,
551,2021-06-01 00:00:00,,11,Major,9618587,LEONIDIO,1,4800,4800,Approved,,,30,,2021-07-29 12:03:01,
552,2021-06-01 00:00:00,,11,Major,9418652,LISA,1,4256,4256,Approved,,,30,,2021-07-29 12:03:01,
553,2021-06-01 00:00:00,,11,Major,9461465,LOTUS A ,1,8586,8586,Approved,,,30,,2021-07-29 12:03:01,
554,2021-06-01 00:00:00,,11,Major,9313929,MAERSK BENTONVILLE,1,4504,4504,Approved,,,30,,2021-07-29 12:03:01,
555,2021-06-01 00:00:00,,11,Major,9313931,MAERSK BROOKLYN,1,4196,4196,Approved,,,30,,2021-07-29 12:03:01,
556,2021-06-01 00:00:00,,11,Major,9333034,MAERSK DETROIT,1,6200,6200,Approved,,,30,,2021-07-29 12:03:01,
557,2021-06-01 00:00:00,,11,Major,9235567,MAERSK GAIRLOCH,1,4544,4544,Approved,,,30,,2021-07-29 12:03:01,
558,2021-06-01 00:00:00,,11,Major,9235555,MAERSK GIRONDE,1,4544,4544,Approved,,,30,,2021-07-29 12:03:01,
559,2021-06-01 00:00:00,,11,Major,9153862,MAERSK KALMAR,1,6690,6690,Approved,,,30,,2021-07-29 12:03:01,
560,2021-06-01 00:00:00,,11,Major,9333010,MAERSK KENSINGTON,1,6100,6100,Approved,,,30,,2021-07-29 12:03:01,
561,2021-06-01 00:00:00,,11,Major,9162227,MAERSK KIMI,1,6690,6690,Approved,,,30,,2021-07-29 12:03:01,
562,2021-06-01 00:00:00,,11,Major,9333022,MAERSK KINLOSS,1,6100,6100,Approved,,,30,,2021-07-29 12:03:01,
