id,imo_code,imo_name,imo_carrying_capacity,imo_size_gt,created_on
1,7020542,MSC ANASTASIA,,,2020-10-23 18:28:18
2,6930403,MSC GIULIA,,,2020-10-23 18:28:18
3,7383918,MSC SIERRA,,,2020-10-23 18:28:18
4,7502904,MSC SERENA,,,2020-10-23 18:28:18
5,7505138,MSC MANU,,,2020-10-23 18:28:18
6,7510418,MSC VERONIQUE,,,2020-10-23 18:28:18
7,7614381,MSC ERMINIA,,,2020-10-23 18:28:18
8,7708950,MSC AURELIE,,,2020-10-23 18:28:18
9,7719090,DUCKY SPLENDID,,,2020-10-23 18:28:18
10,7811484,MSC TOGO,,,2020-10-23 18:28:18
11,7814826,MSC JEANNE,,,2020-10-23 18:28:19
12,7820966,MSC DAMLA,,,2020-10-23 18:28:19
13,7909413,MSC TOBA,,,2020-10-23 18:28:19
14,8011237,SINOKOR SHANGHAI,,,2020-10-23 18:28:19
15,8107309,MSC LEANNE,,,2020-10-23 18:28:19
16,8202197,OEL INDEPENDENCE,,,2020-10-23 18:28:19
17,8208672,MSC PEGGY,,,2020-10-23 18:28:19
18,8212635,MSC TIA,,,2020-10-23 18:28:19
19,8302143,MSC BULGARIA,,,2020-10-23 18:28:19
20,8302167,NORTHERN FORTUNE,,,2020-10-23 18:28:19
21,8308769,DIANA SCAN,,,2020-10-23 18:28:19
22,8324309,SELATAN MAKMUR,,,2020-10-23 18:28:19
23,8413033,MSC AYALA,,,2020-10-23 18:28:19
24,8413277,COOPENHAGEN EXPRESS,,,2020-10-23 18:28:19
25,8413289,OSLO EXPRESS,,,2020-10-23 18:28:19
26,8415952,GOTHENBURG EXPRESS,,,2020-10-23 18:28:19
27,8419714,MSC CARLA,,,2020-10-23 18:28:19
28,8502884,MSC LONDON,,,2020-10-23 18:28:19
29,8507688,MOL FORTUNE,,,2020-10-23 18:28:19
30,8509715,JINDAL MANJULA,,,2020-10-23 18:28:19
31,8510362,OEL FREEDOM,,,2020-10-23 18:28:19
32,8511287,MSC ROBERTA,,,2020-10-23 18:28:19
33,8602751,TIGER SPIRIT,,,2020-10-23 18:28:19
34,8604292,MANHATTAN BRIDGE,,,2020-10-23 18:28:19
35,8618451,MSC OSLO,,,2020-10-23 18:28:19
36,8705486,LOTUS,,,2020-10-23 18:28:19
37,8709169,MSC JENNY,,,2020-10-23 18:28:19
38,8709729,KOTA MACHAN,,,2020-10-23 18:28:19
39,8710986,FINISTERRE,,,2020-10-23 18:28:19
40,8711370,HEIDELBERG EXPRESS,,,2020-10-23 18:28:19
41,8718110,YM YANTIAN,,,2020-10-23 18:28:20
42,8801333,MEKHANIK KALYUZHNIY,,,2020-10-23 18:28:20
43,8801345,SEAWAYS VALOUR,,,2020-10-23 18:28:20
44,8802909,APL ZIRCON,,,2020-10-23 18:28:20
45,8807727,YM ASIA,,,2020-10-23 18:28:20
46,8807739,YM AMERICA,,,2020-10-23 18:28:20
47,8807741,YM EUROPE,,,2020-10-23 18:28:20
48,8901884,TIGER BRIDGE,,,2020-10-23 18:28:20
49,8902565,HOECHST EXPRESS,,,2020-10-23 18:28:20
50,8905933,MSC MARMARA,,,2020-10-23 18:28:20
51,8908167,CONTI SYDNEY,,,2020-10-23 18:28:20
52,8913447,MSC ATLANTIC,,,2020-10-23 18:28:20
53,8917687,DUBURG,,,2020-10-23 18:28:20
54,9000716,CAPE BRETT,,,2020-10-23 18:28:20
55,9001734,SKYROYAL,,,2020-10-23 18:28:20
56,9003304,MSC ANAFI,,,2020-10-23 18:28:20
57,9005522,GATI PRESTIGE,,,2020-10-23 18:28:20
58,9006514,SANTA ROSA,,,2020-10-23 18:28:20
59,9007518,ANNA E,,,2020-10-23 18:28:20
60,9013294,KOTA AKBAR,,,2020-10-23 18:28:20
61,9031466,CS CHRISTINE,,,2020-10-23 18:28:20
62,9035515,TERRA BONA,,,2020-10-23 18:28:20
63,9038919,PARIS EXPRESS,,,2020-10-23 18:28:20
64,9053232,MASTRO NICOS,,,2020-10-23 18:28:20
65,9057496,CONTI CHIWAN,,,2020-10-23 18:28:20
66,9062996,MSC MILA 3,,,2020-10-23 18:28:20
67,9070656,ELISABETH,,,2020-10-23 18:28:20
68,9070761,NORTHERN HARMONY,,,2020-10-23 18:28:20
69,9071210,TIGER PEARL,,,2020-10-23 18:28:20
