id,row_id,month_year,from_period,to_period,state_board_id,port_board_id,data_table_type_id,commodity_id,ov_ul_if,ov_ul_ff,ov_l_if,ov_l_ff,ov_total,co_ul_if,co_ul_ff,co_l_if,co_l_ff,co_total,grand_total,status,comm_remarks,data_submitted_for_approval_on,approved_on,created_on,modified_on,created_by_user_id,updated_by_user_id,log_data_created_on
1,69,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,7,2477703,8533994,0,0,11011697,1016515,0,49775,0,1066290,12077987,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
2,70,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,8,7230,349665,15549,1399606,1772050,847734,143638,852746,99243,1943361,3715411,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
3,71,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,9,0,372601,0,57751,430352,0,0,0,0,0,430352,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
4,72,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,10,0,5000,0,4498,9498,0,0,0,0,0,9498,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
5,73,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,11,0,241616,0,0,241616,0,14700,0,0,14700,256316,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
6,75,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,17,0,44000,0,0,44000,0,0,0,0,0,44000,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
7,83,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,20,0,8015,0,39,8054,17124,0,303,0,17427,25481,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
8,84,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,21,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
9,90,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,22,6206,137170,20893,137411,301680,92607,8173,79823,8804,189407,491087,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
10,91,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,23,40907,1862143,195545,1649963,3748558,2513821,163644,329244,84535,3091244,6839802,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
11,74,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,25,15292,143759,0,15869,174920,0,0,0,0,0,174920,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
12,76,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,26,0,16500,0,0,16500,0,0,0,0,0,16500,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
13,77,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,27,0,234739,0,0,234739,0,0,0,0,0,234739,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
14,78,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,28,0,174344,0,0,174344,0,0,0,0,0,174344,Approval Awaited,,,2017-05-12 15:34:27,2017-05-11 13:01:31,,35,,2017-05-12 15:34:27
15,79,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,31,0,0,0,0,0,302266,513909,0,0,816175,816175,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
16,80,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,32,0,0,0,0,0,0,105300,0,0,105300,105300,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
17,81,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,33,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
18,82,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,34,0,60410,0,0,60410,13828,0,0,0,13828,74238,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
19,85,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,39,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
20,86,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,40,0,3339,0,0,3339,0,0,0,0,0,3339,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
21,87,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,41,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
22,88,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,42,0,0,0,0,0,2922,0,0,0,2922,2922,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
23,89,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,43,0,1040,0,2293,3333,16,0,16,0,32,3365,Approval Awaited,,,2017-05-12 15:34:28,2017-05-11 13:01:31,,35,,2017-05-12 15:34:28
24,69,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,7,2477703,8533994,0,0,11011697,1016515,0,49775,0,1066290,12077987,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
25,70,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,8,7230,349665,15549,1399606,1772050,847734,143638,852746,99243,1943361,3715411,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
26,71,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,9,0,372601,0,57751,430352,0,0,0,0,0,430352,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
27,72,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,10,0,5000,0,4498,9498,0,0,0,0,0,9498,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
28,73,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,11,0,241616,0,0,241616,0,14700,0,0,14700,256316,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
29,75,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,17,0,44000,0,0,44000,0,0,0,0,0,44000,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
30,83,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,20,0,8015,0,39,8054,17124,0,303,0,17427,25481,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
31,84,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,21,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
32,90,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,22,6206,137170,20893,137411,301680,92607,8173,79823,8804,189407,491087,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
33,91,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,23,40907,1862143,195545,1649963,3748558,2513821,163644,329244,84535,3091244,6839802,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
34,74,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,25,15292,143759,0,15869,174920,0,0,0,0,0,174920,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
35,76,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,26,0,16500,0,0,16500,0,0,0,0,0,16500,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
36,77,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,27,0,234739,0,0,234739,0,0,0,0,0,234739,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
37,78,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,28,0,174344,0,0,174344,0,0,0,0,0,174344,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
38,79,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,31,0,0,0,0,0,302266,513909,0,0,816175,816175,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
39,80,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,32,0,0,0,0,0,0,105300,0,0,105300,105300,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
40,81,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,33,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
41,82,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,34,0,60410,0,0,60410,13828,0,0,0,13828,74238,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
42,85,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,39,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
43,86,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,40,0,3339,0,0,3339,0,0,0,0,0,3339,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
44,87,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,41,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
45,88,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,42,0,0,0,0,0,2922,0,0,0,2922,2922,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
46,89,,2016-04-01 00:00:00,2017-03-01 00:00:00,,8,3,43,0,1040,0,2293,3333,16,0,16,0,32,3365,Approval Awaited,,,2017-05-12 15:34:51,2017-05-11 13:01:31,,35,,2017-05-12 15:34:51
47,115,2017-04-01 00:00:00,,,,10,1,8,0,0,0,0,0,49759,0,0,0,49759,49759,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
48,116,2017-04-01 00:00:00,,,,10,1,10,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
49,117,2017-04-01 00:00:00,,,,10,1,11,0,42231,0,0,42231,0,0,0,0,0,42231,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
50,119,2017-04-01 00:00:00,,,,10,1,14,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
51,120,2017-04-01 00:00:00,,,,10,1,15,0,0,151701,1982003,2133704,0,0,0,0,0,2133704,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
52,121,2017-04-01 00:00:00,,,,10,1,16,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
53,122,2017-04-01 00:00:00,,,,10,1,17,0,122881,0,0,122881,0,0,0,0,0,122881,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
54,123,2017-04-01 00:00:00,,,,10,1,18,0,853658,0,0,853658,0,0,0,0,0,853658,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
55,127,2017-04-01 00:00:00,,,,10,1,20,0,0,0,168536,168536,0,0,7888,0,7888,176424,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
56,129,2017-04-01 00:00:00,,,,10,1,22,34,919,117,771,1841,109,103,1,0,213,2054,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
57,118,2017-04-01 00:00:00,,,,10,1,25,0,6501,0,0,6501,0,0,0,0,0,6501,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
58,124,2017-04-01 00:00:00,,,,10,1,26,0,9585,0,0,9585,0,0,0,0,0,9585,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
59,125,2017-04-01 00:00:00,,,,10,1,30,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
60,126,2017-04-01 00:00:00,,,,10,1,34,0,160912,0,38817,199729,1800,6903,0,0,8703,208432,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
61,128,2017-04-01 00:00:00,,,,10,1,43,0,0,0,2147483647,2147483647,0,0,7888,0,7888,2147483647,Approval Awaited,,,2017-05-15 17:34:06,2017-05-15 16:57:17,,61,,2017-05-15 17:34:06
62,650,2017-04-01 00:00:00,,,,6,1,7,290,137,0,0,427,172,0,0,0,172,599,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
63,651,2017-04-01 00:00:00,,,,6,1,8,0,4,0,43,47,103,52,5,0,160,207,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
64,652,2017-04-01 00:00:00,,,,6,1,10,0,113,0,0,113,0,0,0,0,0,113,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
65,653,2017-04-01 00:00:00,,,,6,1,11,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
