id,row_id,commodities_group_wise_id,state_board_id,port_board_id,month_year,loaded,unloaded,total,status,created_by_user_id,updated_by_user_id,approved_on,created_on,modified_on,log_data_created_on
1,1,1,,8,2017-02-01 00:00:00,239042,1203777,1442819,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
2,2,2,,8,2017-02-01 00:00:00,0,71115,71115,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
3,3,3,,8,2017-02-01 00:00:00,0,0,0,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
4,4,4,,8,2017-02-01 00:00:00,0,0,0,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
5,5,5,,8,2017-02-01 00:00:00,0,0,0,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
6,6,6,,8,2017-02-01 00:00:00,0,0,0,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
7,7,7,,8,2017-02-01 00:00:00,0,0,0,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
8,8,8,,8,2017-02-01 00:00:00,0,0,0,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
9,9,9,,8,2017-02-01 00:00:00,198219,318861,517080,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
10,10,10,,8,2017-02-01 00:00:00,0,0,0,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
11,11,11,,8,2017-02-01 00:00:00,0,103749,103749,Approval Awaited,35,,2017-03-14 15:02:54,2017-03-02 14:23:42,,2017-03-14 15:02:54
