id,row_id,month_year,state_board_id,port_board_id,commodities_group_wise_id,ov_ul_if,ov_ul_ff,ov_l_if,ov_l_ff,ov_total,co_ul_if,co_ul_ff,co_l_if,co_l_ff,co_total,grand_total,status,approved_on,created_on,modified_on,created_by_user_id,updated_by_user_id,log_data_created_on
1,109,2016-04-01 00:00:00,3,27,1,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
2,110,2016-04-01 00:00:00,3,27,2,0,0,0,6008,6008,0,0,0,0,0,6008,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
3,111,2016-04-01 00:00:00,3,27,3,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
4,112,2016-04-01 00:00:00,3,27,4,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
5,113,2016-04-01 00:00:00,3,27,5,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
6,114,2016-04-01 00:00:00,3,27,6,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
7,115,2016-04-01 00:00:00,3,27,7,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
8,116,2016-04-01 00:00:00,3,27,8,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
9,117,2016-04-01 00:00:00,3,27,9,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
10,118,2016-04-01 00:00:00,3,27,10,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
11,119,2016-04-01 00:00:00,3,27,11,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
12,120,2016-04-01 00:00:00,3,27,12,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,2017-11-24 12:45:16,2017-05-23 15:05:34,,68,,2017-11-24 12:45:16
13,25,2016-06-01 00:00:00,10,33,1,0,1,0,0,1,0,0,0,0,0,1,Approval Awaited,2017-12-18 12:14:35,2017-05-05 16:49:56,,52,,2017-12-18 12:14:35
