id	state_id	state_board_id	port_type	port_code	port_name	created_by_user_id	modified_by_user_id	created_on	modified_on
1	35		Major	M001	SYAMA PRASAD MOOKERJEE KOLKATA	2	2	2/2/2017 14:42	2/18/2022 16:44
2	35		Major	M002	HALDIA DOCK COMPLEX	2	2	2/2/2017 14:42	1/17/2018 15:23
3	26		Major	M003	PARADIP PORT AUTHORITY	2	2	2/2/2017 14:46	5/13/2022 12:35
4	1		Major	M004	VISAKHAPATNAM PORT AUTHORITY	2	2	2/2/2017 14:46	5/13/2022 12:35
5	31		Major	M005	KAMARAJAR PORT AUTHORITY	2	2	2/2/2017 14:47	5/13/2022 12:35
6	31		Major	M006	CHENNAI   PORT AUTHORITY	2	2	2/2/2017 14:48	5/13/2022 12:34
7	31		Major	M007	V O CHIDAMBARANAR  PORT AUTHORITY	2	2	2/2/2017 14:48	5/13/2022 13:01
8	18		Major	M008	COCHIN PORT AUTHORITY	2	2	2/2/2017 14:49	5/13/2022 12:34
9	17		Major	M009	NEW MANGALORE  PORT AUTHORITY	2	2	2/2/2017 14:49	5/13/2022 12:34
10	11		Major	M010	MORMUGAO PORT AUTHORITY	2	2	2/2/2017 14:50	5/13/2022 12:33
11	21		Major	M011	JAWAHARLAL NEHRU PORT AUTHORITY	2	2	2/2/2017 14:50	5/13/2022 13:01
12	21		Major	M012	MUMBAI PORT AUTHORITY	2	2	2/2/2017 14:51	5/13/2022 12:32
13	12		Major	M013	DEENDAYAL PORT AUTHORITY	2	2	2/2/2017 14:51	5/13/2022 12:32
14		4	Non-Major	403001	Panaji 	6		2/20/2017 15:46	
26		3	Non-Major	1	Kattupalli Port	22	22	4/19/2017 11:04	4/19/2017 11:05
27		3	Non-Major	2	Ennore Minor Port	22	22	4/19/2017 15:04	11/20/2018 11:57
28		3	Non-Major	3	Cuddalore Port	22	22	4/19/2017 15:11	4/19/2017 15:13
29		3	Non-Major	4	Tirukkadaiyur Port	22	22	4/19/2017 15:14	4/27/2017 10:23
30		3	Non-Major	5	Nagapattinam Port	22	22	4/19/2017 15:15	4/27/2017 10:23
31		10	Non-Major	INPDY1	Pondicherry Port	24	24	5/4/2017 11:21	5/4/2017 11:22
32		10	Non-Major	INKKL1	Karaikal Port	24		5/4/2017 11:23	
