id,state_board_id,port_board_id,data_table_type_id,commodity_id,created_by_user_id,created_on
321,,12,2,7,43,2017-04-27 15:17:25
322,,12,2,8,43,2017-04-27 15:17:25
323,,12,2,9,43,2017-04-27 15:17:25
324,,12,2,10,43,2017-04-27 15:17:25
325,,12,2,25,43,2017-04-27 15:17:25
326,,12,2,17,43,2017-04-27 15:17:25
327,,12,2,26,43,2017-04-27 15:17:25
328,,12,2,27,43,2017-04-27 15:17:25
329,,12,2,28,43,2017-04-27 15:17:25
330,,12,2,29,43,2017-04-27 15:17:25
331,,12,2,34,43,2017-04-27 15:17:25
332,,12,2,20,43,2017-04-27 15:17:25
333,,12,2,21,43,2017-04-27 15:17:25
334,,12,2,38,43,2017-04-27 15:17:25
335,,12,2,39,43,2017-04-27 15:17:25
336,,12,2,40,43,2017-04-27 15:17:25
337,,12,2,42,43,2017-04-27 15:17:25
338,,12,2,43,43,2017-04-27 15:17:25
339,,12,2,22,43,2017-04-27 15:17:25
340,,12,2,23,43,2017-04-27 15:17:25
341,,12,2,24,43,2017-04-27 15:17:25
342,,12,3,7,43,2017-04-27 15:18:42
343,,12,3,8,43,2017-04-27 15:18:42
344,,12,3,9,43,2017-04-27 15:18:42
345,,12,3,10,43,2017-04-27 15:18:42
346,,12,3,25,43,2017-04-27 15:18:42
347,,12,3,17,43,2017-04-27 15:18:42
348,,12,3,26,43,2017-04-27 15:18:42
349,,12,3,27,43,2017-04-27 15:18:42
350,,12,3,28,43,2017-04-27 15:18:42
351,,12,3,29,43,2017-04-27 15:18:42
352,,12,3,34,43,2017-04-27 15:18:42
353,,12,3,20,43,2017-04-27 15:18:42
354,,12,3,21,43,2017-04-27 15:18:42
355,,12,3,38,43,2017-04-27 15:18:42
356,,12,3,39,43,2017-04-27 15:18:42
357,,12,3,40,43,2017-04-27 15:18:42
358,,12,3,42,43,2017-04-27 15:18:42
359,,12,3,43,43,2017-04-27 15:18:42
360,,12,3,22,43,2017-04-27 15:18:42
361,,12,3,23,43,2017-04-27 15:18:42
635,,10,2,8,45,2017-05-05 17:18:34
636,,10,2,10,45,2017-05-05 17:18:34
637,,10,2,11,45,2017-05-05 17:18:34
638,,10,2,25,45,2017-05-05 17:18:34
639,,10,2,14,45,2017-05-05 17:18:34
640,,10,2,15,45,2017-05-05 17:18:34
641,,10,2,16,45,2017-05-05 17:18:34
642,,10,2,17,45,2017-05-05 17:18:34
643,,10,2,18,45,2017-05-05 17:18:34
644,,10,2,26,45,2017-05-05 17:18:34
645,,10,2,34,45,2017-05-05 17:18:34
646,,10,2,20,45,2017-05-05 17:18:34
647,,10,2,43,45,2017-05-05 17:18:34
648,,10,2,22,45,2017-05-05 17:18:34
984,,11,3,7,31,2017-06-03 12:17:56
985,,11,3,8,31,2017-06-03 12:17:56
986,,11,3,9,31,2017-06-03 12:17:56
987,,11,3,10,31,2017-06-03 12:17:56
988,,11,3,11,31,2017-06-03 12:17:56
989,,11,3,25,31,2017-06-03 12:17:56
990,,11,3,31,31,2017-06-03 12:17:56
991,,11,3,43,31,2017-06-03 12:17:56
992,,11,3,22,31,2017-06-03 12:17:56
993,,11,3,23,31,2017-06-03 12:17:56
1040,,1,3,8,76,2017-06-14 15:11:01
1041,,1,3,10,76,2017-06-14 15:11:01
1055,,11,2,7,31,2017-06-14 15:38:48
1056,,11,2,8,31,2017-06-14 15:38:48
1057,,11,2,9,31,2017-06-14 15:38:48
1058,,11,2,10,31,2017-06-14 15:38:48
1059,,11,2,11,31,2017-06-14 15:38:48
1060,,11,2,25,31,2017-06-14 15:38:48
1061,,11,2,31,31,2017-06-14 15:38:48
1062,,11,2,43,31,2017-06-14 15:38:48
1063,,11,2,22,31,2017-06-14 15:38:48
1064,,11,2,23,31,2017-06-14 15:38:48
1065,3,27,1,11,63,2017-06-16 14:26:17
1066,3,27,2,11,63,2017-06-16 15:41:07
1067,3,27,3,11,63,2017-06-16 15:41:18
1535,,5,2,8,26,2017-07-31 12:01:42
1536,,5,2,9,26,2017-07-31 12:01:42
1537,,5,2,25,26,2017-07-31 12:01:42
1538,,5,2,17,26,2017-07-31 12:01:42
1539,,5,2,18,26,2017-07-31 12:01:42
1540,,5,2,40,26,2017-07-31 12:01:42
1541,,5,2,42,26,2017-07-31 12:01:42
1542,,5,2,22,26,2017-07-31 12:01:42
1552,6,38,2,16,92,2017-08-05 17:32:14
1553,6,38,3,16,92,2017-08-05 17:32:41
1658,6,36,1,25,91,2017-08-11 15:37:02
1659,6,36,1,17,91,2017-08-11 15:37:02
1702,3,30,1,8,67,2017-08-27 17:38:12
1703,3,30,1,10,67,2017-08-27 17:38:12
1710,10,33,1,8,56,2017-08-28 14:25:03
1711,3,26,2,20,64,2017-08-28 14:42:49
1712,3,26,2,40,64,2017-08-28 14:42:49
1713,3,26,2,42,64,2017-08-28 14:42:49
1714,3,26,2,43,64,2017-08-28 14:42:49
1715,3,26,2,22,64,2017-08-28 14:42:49
1716,3,26,3,20,64,2017-08-28 14:43:20
1717,3,26,3,42,64,2017-08-28 14:43:20
1718,3,26,3,43,64,2017-08-28 14:43:20
1719,3,26,3,22,64,2017-08-28 14:43:20
1824,3,28,2,7,65,2017-08-29 16:31:10
1825,3,28,2,8,65,2017-08-29 16:31:10
1826,3,28,2,28,65,2017-08-29 16:31:10
