id,sailing_vessel_master_id,period,state_board_id,port_board_id,vessel_data,status,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
11,6,2016,9,50,0.000,Approved,2017-10-10 16:46:36,113,,2017-09-27 09:53:55,
12,7,2016,9,50,0.000,Approved,2017-10-10 16:46:36,113,,2017-09-27 09:53:55,
13,8,2016,9,50,0.000,Approved,2017-10-10 16:46:36,113,,2017-09-27 09:53:55,
14,6,2017,9,50,0.000,Approved,2017-10-10 16:46:48,113,,2017-09-27 09:54:05,
15,7,2017,9,50,0.000,Approved,2017-10-10 16:46:48,113,,2017-09-27 09:54:05,
16,8,2017,9,50,0.000,Approved,2017-10-10 16:46:48,113,,2017-09-27 09:54:05,
17,6,2017,9,48,0.000,Approved,2017-10-09 14:35:37,112,108,2017-10-03 17:11:04,2017-10-09 14:35:37
18,7,2017,9,48,0.000,Approved,2017-10-09 14:35:37,112,108,2017-10-03 17:11:04,2017-10-09 14:35:37
19,8,2017,9,48,23.000,Approved,2017-10-09 14:35:37,112,108,2017-10-03 17:11:04,2017-10-09 14:35:37
20,6,2017,3,29,5.000,Approved,2017-12-04 17:04:51,120,,2017-11-23 16:04:52,
21,7,2017,3,29,0.000,Approved,2017-12-04 17:04:51,120,,2017-11-23 16:04:52,
22,8,2017,3,29,5.000,Approved,2017-12-04 17:04:51,120,,2017-11-23 16:04:52,
23,6,2017,9,51,164.000,Approved,2018-02-09 11:38:08,121,,2018-02-08 15:15:29,
24,7,2017,9,51,273.000,Approved,2018-02-09 11:38:08,121,,2018-02-08 15:15:29,
25,8,2017,9,51,0.000,Approved,2018-02-09 11:38:08,121,,2018-02-08 15:15:29,
26,6,2017,9,52,0.000,Approved,2018-09-14 15:25:43,115,,2018-03-06 11:46:11,
27,7,2017,9,52,0.000,Approved,2018-09-14 15:25:43,115,,2018-03-06 11:46:11,
28,8,2017,9,52,0.000,Approved,2018-09-14 15:25:43,115,,2018-03-06 11:46:11,
29,6,2018,9,51,168.000,Approved,2018-05-02 12:03:17,121,,2018-04-19 12:54:37,
30,7,2018,9,51,231.000,Approved,2018-05-02 12:03:17,121,,2018-04-19 12:54:37,
31,8,2018,9,51,0.000,Approved,2018-05-02 12:03:17,121,,2018-04-19 12:54:37,
32,6,2018,9,50,0.000,Approved,2018-10-09 11:10:12,113,,2018-10-09 10:49:00,
33,7,2018,9,50,0.000,Approved,2018-10-09 11:10:12,113,,2018-10-09 10:49:00,
34,8,2018,9,50,0.000,Approved,2018-10-09 11:10:12,113,,2018-10-09 10:49:00,
35,6,2017,6,37,1.000,Approved,2018-11-03 18:06:27,167,,2018-10-29 15:08:43,
36,7,2017,6,37,0.000,Approved,2018-11-03 18:06:27,167,,2018-10-29 15:08:43,
37,8,2017,6,37,0.000,Approved,2018-11-03 18:06:27,167,,2018-10-29 15:08:43,
38,6,2018,6,37,1.000,Approved,2018-11-03 18:06:40,167,,2018-10-29 15:16:09,
39,7,2018,6,37,0.000,Approved,2018-11-03 18:06:40,167,,2018-10-29 15:16:09,
40,8,2018,6,37,0.000,Approved,2018-11-03 18:06:40,167,,2018-10-29 15:16:09,
41,6,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:43:35,
42,7,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:43:35,
43,8,2018,5,99,0.000,Approval Awaited,,149,,2018-11-12 14:43:35,
44,6,2018,3,27,0.000,Approved,2018-11-20 11:43:05,68,,2018-11-20 11:35:09,
45,7,2018,3,27,0.000,Approved,2018-11-20 11:43:05,68,,2018-11-20 11:35:09,
46,8,2018,3,27,0.000,Approved,2018-11-20 11:43:05,68,,2018-11-20 11:35:09,
47,6,2018,3,28,36.000,Approved,2018-12-13 16:30:25,70,,2018-12-13 15:41:49,
48,7,2018,3,28,23.000,Approved,2018-12-13 16:30:25,70,,2018-12-13 15:41:49,
49,8,2018,3,28,76.000,Approved,2018-12-13 16:30:25,70,,2018-12-13 15:41:49,
50,6,2017,3,28,38.000,Approved,2018-12-13 16:30:31,70,,2018-12-13 15:46:21,
51,7,2017,3,28,3.000,Approved,2018-12-13 16:30:31,70,,2018-12-13 15:46:21,
52,8,2017,3,28,76.000,Approved,2018-12-13 16:30:31,70,,2018-12-13 15:46:21,
53,6,2018,3,29,0.000,Approved,2019-01-03 11:38:08,120,,2018-12-19 14:02:47,
54,7,2018,3,29,0.000,Approved,2019-01-03 11:38:08,120,,2018-12-19 14:02:47,
55,8,2018,3,29,0.000,Approved,2019-01-03 11:38:08,120,,2018-12-19 14:02:47,
56,6,2019,3,29,0.000,Approved,2019-04-09 13:05:52,120,,2019-03-04 15:42:07,
57,7,2019,3,29,0.000,Approved,2019-04-09 13:05:52,120,,2019-03-04 15:42:07,
58,8,2019,3,29,0.000,Approved,2019-04-09 13:05:52,120,,2019-03-04 15:42:07,
59,6,2019,9,50,0.000,Approved,2019-04-02 17:17:50,113,,2019-04-02 17:13:33,
60,7,2019,9,50,0.000,Approved,2019-04-02 17:17:50,113,,2019-04-02 17:13:33,
61,8,2019,9,50,0.000,Approved,2019-04-02 17:17:50,113,,2019-04-02 17:13:33,
62,6,2020,9,50,0.000,Approved,2020-05-04 12:05:28,113,,2020-05-04 11:58:44,
63,7,2020,9,50,0.000,Approved,2020-05-04 12:05:28,113,,2020-05-04 11:58:44,
64,8,2020,9,50,0.000,Approved,2020-05-04 12:05:28,113,,2020-05-04 11:58:44,
65,6,2020,3,28,276089.000,Approved,2020-05-08 11:16:05,70,,2020-05-06 12:52:33,
66,7,2020,3,28,0.000,Approved,2020-05-08 11:16:05,70,,2020-05-06 12:52:33,
67,8,2020,3,28,0.000,Approved,2020-05-08 11:16:05,70,,2020-05-06 12:52:33,
68,6,2019,9,48,0.000,Approved,2020-07-10 16:02:30,112,,2020-07-10 15:53:23,
69,7,2019,9,48,0.000,Approved,2020-07-10 16:02:30,112,,2020-07-10 15:53:23,
70,8,2019,9,48,27.000,Approved,2020-07-10 16:02:30,112,,2020-07-10 15:53:23,
71,6,2020,9,48,0.000,Approved,2020-07-10 16:02:35,112,,2020-07-10 15:53:57,
72,7,2020,9,48,0.000,Approved,2020-07-10 16:02:35,112,,2020-07-10 15:53:57,
73,8,2020,9,48,17.000,Approved,2020-07-10 16:02:35,112,,2020-07-10 15:53:57,
74,6,2020,3,29,0.000,Approved,2020-07-16 11:07:29,120,,2020-07-16 10:53:45,
75,7,2020,3,29,0.000,Approved,2020-07-16 11:07:29,120,,2020-07-16 10:53:45,
76,8,2020,3,29,0.000,Approved,2020-07-16 11:07:29,120,,2020-07-16 10:53:45,
77,6,2021,3,29,0.000,Approved,2021-04-09 13:34:46,120,,2021-04-09 13:22:22,
78,7,2021,3,29,0.000,Approved,2021-04-09 13:34:46,120,,2021-04-09 13:22:22,
79,8,2021,3,29,0.000,Approved,2021-04-09 13:34:46,120,,2021-04-09 13:22:22,
