id,month_year,state_board_id,port_board_id,port_type,service_code,service_name,status,data_submitted_for_approval_on,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
1,2021-06-01 00:00:00,,10,Major,531,INDIAN WEST COAST SERVICE,Approved,,,61,,2021-07-13 11:49:18,
5,2021-06-01 00:00:00,,10,Major,531,INDIAN WEST COAST SERVICE,Approved,,,61,,2021-07-15 10:50:46,
7,2021-06-01 00:00:00,,11,Major,501,AREBIAN SEA EXPRESS,Approved,,,30,,2021-07-15 12:37:51,
8,2021-06-01 00:00:00,,11,Major,514,ASIA INDIAN SUBCONTINENT,Approved,,,30,,2021-07-15 12:37:51,
9,2021-06-01 00:00:00,,11,Major,523,BANDAR ABBAS SERVICE,Approved,,,30,,2021-07-15 12:37:51,
11,2021-06-01 00:00:00,,11,Major,515,CHINA INDIA SERVICE,Approved,,,30,,2021-07-15 12:37:51,
12,2021-06-01 00:00:00,,11,Major,503,CHINA INDIA EXPRESS 3,Approved,,,30,,2021-07-15 12:37:51,
20,2021-06-01 00:00:00,,11,Major,529,INDIA IRAN EXPRESS,Approved,,,30,,2021-07-15 12:37:51,
24,2021-06-01 00:00:00,,11,Major,517,MIDDLE EAST EXPRESS SERVICE,Approved,,,30,,2021-07-15 12:37:51,
28,2021-06-01 00:00:00,,11,Major,518,MUMBAI FEEDER SERVICE,Approved,,,30,,2021-07-15 12:37:51,
30,2021-06-01 00:00:00,,11,Major,508,PASIFIC SOUTH 3,Approved,,,30,,2021-07-15 12:37:51,
33,2021-06-01 00:00:00,,11,Major,502,WAN HAI CHINA INDIA EXPRESS SERVICE,Approved,,,30,,2021-07-15 12:37:51,
34,2021-06-01 00:00:00,,11,Major,522,ADHOC,Approved,,,30,,2021-07-15 13:14:08,
42,2021-06-01 00:00:00,,11,Major,512,EUROPE PAKISTAN INDIA CONSORTIUM,Approved,,,30,,2021-07-15 13:14:08,
51,2021-06-01 00:00:00,,11,Major,524,MIDDLE EAST CONTAINER LINE,Approved,,,30,,2021-07-15 13:14:09,
53,2021-06-01 00:00:00,,11,Major,527,MIDDLE EAST INDIA AFRICA EXPRESS,Approved,,,30,,2021-07-15 13:14:09,
55,2021-06-01 00:00:00,,11,Major,519,MIDDLE EAST SOUT AFRICA WEST AFRICA,Approved,,,30,,2021-07-15 13:14:09,
57,2021-06-01 00:00:00,,11,Major,507,NHAVA SHEVA DOHA EXPRESS,Approved,,,30,,2021-07-15 13:14:09,
60,2021-06-01 00:00:00,,11,Major,509,THIALAND INDIA PAKISTAN,Approved,,,30,,2021-07-15 13:14:09,
66,2021-06-01 00:00:00,,11,Major,504,CHINA WEST INDIA,Approved,,,30,,2021-07-15 14:38:15,
72,2021-06-01 00:00:00,,11,Major,505,FAR MED & MIDDLE EAST,Approved,,,30,,2021-07-15 14:38:15,
74,2021-06-01 00:00:00,,11,Major,526,INDIAN EXPRESS SERVICE,Approved,,,30,,2021-07-15 14:38:15,
78,2021-06-01 00:00:00,,11,Major,525,MEDIT IND AFRICA SERVICE,Approved,,,30,,2021-07-15 14:38:15,
82,2021-06-01 00:00:00,,11,Major,506,MIDDLE EAST INDIA NORTH AMERICA,Approved,,,30,,2021-07-15 14:38:15,
87,2021-06-01 00:00:00,,11,Major,513,SWAHILI EXPRESS,Approved,,,30,,2021-07-15 14:38:15,
97,2021-06-01 00:00:00,,11,Major,516,CHINA INDIA SUBCONTINANT SERVICE,Approved,,,30,,2021-07-15 15:57:37,
99,2021-06-01 00:00:00,,11,Major,511,FALCON SERVICE,Approved,,,30,,2021-07-15 15:57:37,
101,2021-06-01 00:00:00,,11,Major,520,GULF INDIA EXPRESS,Approved,,,30,,2021-07-15 15:57:37,
105,2021-06-01 00:00:00,,11,Major,521,INDIA US SERVICE,Approved,,,30,,2021-07-15 15:57:37,
119,2021-06-01 00:00:00,,11,Major,528,HEX,Approved,,,30,,2021-07-15 16:16:49,
121,2021-06-01 00:00:00,,11,Major,538,UIGS,Approved,,,31,,2021-07-23 12:55:41,
122,2021-06-01 00:00:00,,11,Major,536,INOS,Approved,,,31,,2021-07-23 12:58:52,
124,2021-06-01 00:00:00,,11,Major,537,MAWE,Approved,,,31,,2021-07-23 13:02:40,
125,2021-06-01 00:00:00,,11,Major,534,IAEX,Approved,,,31,,2021-07-23 13:03:15,
126,2021-06-01 00:00:00,,11,Major,533,IAFX,Approved,,,31,,2021-07-23 13:04:50,
127,2021-06-01 00:00:00,,11,Major,532,BNILE,Approved,,,31,,2021-07-23 13:12:25,
128,2021-06-01 00:00:00,,11,Major,535,ASOne,Approved,,,31,,2021-07-23 13:12:51,
129,2021-06-01 00:00:00,,11,Major,540,CIETwo,Approved,,,31,,2021-07-23 14:01:47,
130,2021-06-01 00:00:00,,11,Major,539,CIEOne,Approved,,,31,,2021-07-23 14:02:08,
131,2021-06-01 00:00:00,,11,Major,544,CIEEight,Approved,,,31,,2021-07-23 14:02:28,
132,2021-06-01 00:00:00,,11,Major,535,METwo,Approved,,,31,,2021-07-23 14:56:26,
133,2021-06-01 00:00:00,,11,Major,541,EPIC Three,Approved,,,31,,2021-07-23 14:57:18,
134,2021-06-01 00:00:00,,11,Major,542,CWICISix,Approved,,,31,,2021-07-23 15:16:03,
135,2021-06-01 00:00:00,,11,Major,552,ME Three,Approved,,,31,,2021-07-23 15:46:32,
