id	state_name	created_by_user_id	modified_by_user_id	created_on	modified_on
1	Andra Pradesh	0		2/2/2017 14:45	
2	Arunachal Pradesh	0		2/2/2017 14:45	
3	Andaman and Nicobar Islands	0		2/2/2017 14:45	
4	Assam	0		2/2/2017 14:45	
5	Bihar	0		2/2/2017 14:45	
6	Chandigarh	0		2/2/2017 14:45	
7	Chhattisgarh	0		2/2/2017 14:45	
8	Dadar and Nagar Haveli	0		2/2/2017 14:45	
9	Daman and Diu	0		2/2/2017 14:45	
10	Delhi	0		2/2/2017 14:45	
11	Goa	0		2/2/2017 14:45	
12	Gujarat	0		2/2/2017 14:45	
13	Haryana	0		2/2/2017 14:45	
14	Himachal Pradesh	0		2/2/2017 14:45	
15	Jammu and Kashmir	0		2/2/2017 14:45	
16	Jharkhand	0		2/2/2017 14:45	
17	Karnataka	0		2/2/2017 14:45	
18	Kerala	0		2/2/2017 14:45	
19	Lakshadeep	0		2/2/2017 14:45	
20	Madya Pradesh	0		2/2/2017 14:45	
21	Maharashtra	0		2/2/2017 14:45	
22	Manipur	0		2/2/2017 14:45	
23	Meghalaya	0		2/2/2017 14:45	
24	Mizoram	0		2/2/2017 14:45	
25	Nagaland	0		2/2/2017 14:45	
26	Odisha	0	1	2/2/2017 14:45	4/1/2019 11:42
27	Pondicherry	0		2/2/2017 14:45	
28	Punjab	0		2/2/2017 14:45	
29	Rajasthan	0		2/2/2017 14:45	
30	Sikkim	0		2/2/2017 14:45	
31	Tamil Nadu	0		2/2/2017 14:45	
32	Tripura	0		2/2/2017 14:45	
33	Uttaranchal	0		2/2/2017 14:45	
34	Uttar Pradesh	0		2/2/2017 14:45	
35	West Bengal	0		2/2/2017 14:45	
36	Telangana	0		2/2/2017 14:45	
