id,name,parent_id,lft,rght,created_by_user_id,created_on,updated_by_user_id,updated_on,data_entry_req,data_type
1,Root,,53,53,1,2015-12-01 21:25:54,,,No,
2,No. of Vessels Sailed (Total No.),1,1,12,2,2015-12-01 21:26:17,,2018-07-09 11:00:36,ReadOnly,Integer
3,At Berth-(No.),2,2,7,2,2015-12-01 21:28:40,,2018-07-09 10:16:46,No,Integer
4,Overseas,3,3,4,2,2015-12-01 21:30:52,,2018-02-06 08:26:41,Yes,Integer
5,Coastal,3,5,6,2,2015-12-01 21:31:17,,2018-02-06 08:26:45,Yes,Integer
6,At Stream-(No.),2,8,9,2,2015-12-01 21:31:39,,2018-02-06 08:27:12,Yes,Integer
7,Total Cargo Traffic Handled,1,13,18,2,2015-12-01 21:33:16,,2018-07-09 11:00:52,ReadOnly,Decimal
8,At Berth-(000 Tonnes),7,14,15,2,2015-12-01 21:33:49,,2018-02-06 08:27:22,Yes,Decimal
9,At Stream-(000 Tonnes),7,16,17,2,2015-12-01 21:34:45,,2018-02-06 08:27:32,Yes,Decimal
10,Pre Berthing Waiting Time Hrs-Total,1,19,24,2,2017-08-23 06:45:46,,2018-02-06 08:27:37,No,Decimal
11,Pre Berthing Waiting Time in Hrs-Port account,10,20,21,2,2017-08-23 06:50:28,,2018-02-06 08:27:43,Yes,Decimal
12,Pre Berthing Waiting Time in Hrs-Non Port account,10,22,23,2,2017-08-23 06:51:16,,2018-02-06 08:27:47,Yes,Decimal
13,Working Time  in Hrs,1,25,26,2,2017-08-23 06:52:04,,2018-02-06 08:27:51,Yes,Decimal
14,N.W Time at working berth in Hrs-Total,1,27,32,2,2017-08-23 06:52:47,,2018-02-06 08:27:55,No,Decimal
15,N.W Time at working berth in Hrs-Port account,14,28,29,2,2017-08-23 06:53:37,,2018-02-06 08:27:59,Yes,Decimal
16,N.W Time at working berth in Hrs-N.P account,14,30,31,2,2017-08-23 06:54:27,,2018-02-06 08:28:04,Yes,Decimal
17,Time at Non working berth in Hrs-Total,1,33,38,2,2017-08-23 06:55:11,,2018-02-06 08:28:08,No,Decimal
18,Time at Non working berth in Hrs-Port account,17,34,35,2,2017-08-23 06:55:59,,2018-02-06 08:28:13,Yes,Decimal
19,Time at Non  working berth in Hrs-N.P account,17,36,37,2,2017-08-23 06:56:46,,2018-02-06 08:28:17,Yes,Decimal
20,Navigation Time in Hrs-Total,1,39,44,2,2017-08-23 06:57:34,,2018-02-06 08:28:21,No,Decimal
21,Inward Movement  in Hrs,20,40,41,2,2017-08-23 06:58:03,,2018-02-06 08:28:26,Yes,Decimal
22,Outward Movement  in Hrs,20,42,43,2,2017-08-23 06:58:29,,2018-02-06 08:28:30,Yes,Decimal
