id,vessel_item_id,data_table_type_id,month_year,from_period,to_period,state_board_id,port_board_id,dry_mech,dry_conv,liquid_bulk,break_bulk,container,all,status,data_submitted_for_approval_on,approved_on,created_by_user_id,updated_by_user_id,created_on,modified_on
147,2,4,2018-04-01 00:00:00,,,,11,5.000,0.000,54.000,11.000,165.000,235.000,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
148,4,4,2018-04-01 00:00:00,,,,11,0.000,0.000,43.000,1.000,158.000,202.000,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
149,5,4,2018-04-01 00:00:00,,,,11,5.000,0.000,10.000,10.000,7.000,32.000,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
150,6,4,2018-04-01 00:00:00,,,,11,0.000,0.000,1.000,0.000,0.000,1.000,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
151,7,4,2018-04-01 00:00:00,,,,11,102.770,0.000,573.846,7.718,5210.170,5894.504,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
152,8,4,2018-04-01 00:00:00,,,,11,102.770,0.000,557.310,7.718,5210.170,5877.968,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
153,9,4,2018-04-01 00:00:00,,,,11,0.000,0.000,16.536,0.000,0.000,16.536,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
154,11,4,2018-04-01 00:00:00,,,,11,8.000,0.000,1278.300,0.000,219.020,1505.320,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
155,12,4,2018-04-01 00:00:00,,,,11,479.030,0.000,1717.700,32.670,882.850,3112.250,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
156,13,4,2018-04-01 00:00:00,,,,11,433.170,0.000,1516.200,183.800,3659.160,5792.330,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
157,15,4,2018-04-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,133.820,133.820,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
158,16,4,2018-04-01 00:00:00,,,,11,23.910,0.000,351.130,31.600,104.360,511.000,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
159,18,4,2018-04-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,30.630,30.630,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
160,19,4,2018-04-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,82.000,82.000,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
161,21,4,2018-04-01 00:00:00,,,,11,8.400,0.000,103.680,18.480,270.930,401.490,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
162,22,4,2018-04-01 00:00:00,,,,11,4.800,0.000,51.840,10.560,137.070,204.270,Approved,2018-09-10 14:18:36,,30,31,2018-09-07 17:04:57,2018-09-10 14:32:51
163,2,4,2018-05-01 00:00:00,,,,11,4.000,0.000,60.000,12.000,167.000,243.000,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
164,4,4,2018-05-01 00:00:00,,,,11,0.000,0.000,49.000,3.000,156.000,208.000,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
165,5,4,2018-05-01 00:00:00,,,,11,4.000,0.000,10.000,9.000,11.000,34.000,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
166,6,4,2018-05-01 00:00:00,,,,11,0.000,0.000,1.000,0.000,0.000,1.000,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
167,7,4,2018-05-01 00:00:00,,,,11,82.540,0.000,650.625,3.416,5064.870,5801.451,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
168,8,4,2018-05-01 00:00:00,,,,11,82.540,0.000,634.150,3.416,5064.870,5784.976,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
169,9,4,2018-05-01 00:00:00,,,,11,0.000,0.000,16.475,0.000,0.000,16.475,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
170,11,4,2018-05-01 00:00:00,,,,11,9.170,0.000,1442.900,6.400,203.770,1662.240,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
171,12,4,2018-05-01 00:00:00,,,,11,567.230,0.000,2809.700,235.700,607.980,4220.610,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
172,13,4,2018-05-01 00:00:00,,,,11,342.870,0.000,1687.400,256.000,3625.710,5911.980,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
173,15,4,2018-05-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,141.180,141.180,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
174,16,4,2018-05-01 00:00:00,,,,11,18.367,0.000,394.500,37.000,107.240,557.107,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
175,18,4,2018-05-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,26.980,26.980,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
176,19,4,2018-05-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,67.870,67.870,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
177,21,4,2018-05-01 00:00:00,,,,11,6.720,0.000,115.200,20.160,271.900,413.980,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
178,22,4,2018-05-01 00:00:00,,,,11,3.840,0.000,72.000,11.520,132.230,219.590,Approved,2018-09-11 08:52:32,,30,30,2018-09-11 08:41:11,
179,2,4,2018-06-01 00:00:00,,,,11,3.000,0.000,54.000,8.000,158.000,223.000,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
180,4,4,2018-06-01 00:00:00,,,,11,0.000,0.000,43.000,0.000,147.000,190.000,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
181,5,4,2018-06-01 00:00:00,,,,11,3.000,0.000,10.000,8.000,11.000,32.000,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
182,6,4,2018-06-01 00:00:00,,,,11,0.000,0.000,1.000,0.000,0.000,1.000,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
183,7,4,2018-06-01 00:00:00,,,,11,59.870,0.000,602.013,0.806,5004.840,5667.529,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
184,8,4,2018-06-01 00:00:00,,,,11,59.870,0.000,585.660,0.806,5004.840,5651.176,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
185,9,4,2018-06-01 00:00:00,,,,11,0.000,0.000,16.353,0.000,0.000,16.353,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
186,11,4,2018-06-01 00:00:00,,,,11,17.770,0.000,1036.400,0.000,292.570,1346.740,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
187,12,4,2018-06-01 00:00:00,,,,11,210.220,0.000,1847.900,56.300,564.510,2678.930,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
188,13,4,2018-06-01 00:00:00,,,,11,343.180,0.000,1473.800,86.780,3599.250,5503.010,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
189,15,4,2018-06-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,138.430,138.430,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
190,16,4,2018-06-01 00:00:00,,,,11,11.367,0.000,317.550,20.050,96.140,445.107,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
191,18,4,2018-06-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,23.580,23.580,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
192,19,4,2018-06-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,52.000,52.000,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
193,21,4,2018-06-01 00:00:00,,,,11,5.090,0.000,90.550,8.330,253.770,357.740,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
194,22,4,2018-06-01 00:00:00,,,,11,2.390,0.000,49.530,5.360,151.140,208.420,Approved,2018-09-11 17:39:10,,30,,2018-09-11 14:16:21,
195,2,4,2018-07-01 00:00:00,,,,11,3.000,0.000,46.000,2.000,161.000,212.000,Approved,2018-09-11 17:38:26,,30,,2018-09-11 14:20:42,
196,4,4,2018-07-01 00:00:00,,,,11,0.000,0.000,36.000,0.000,150.000,186.000,Approved,2018-09-11 17:38:26,,30,,2018-09-11 14:20:42,
197,5,4,2018-07-01 00:00:00,,,,11,3.000,0.000,10.000,2.000,11.000,26.000,Approved,2018-09-11 17:38:26,,30,,2018-09-11 14:20:42,
198,6,4,2018-07-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2018-09-11 17:38:26,,30,,2018-09-11 14:20:42,
199,7,4,2018-07-01 00:00:00,,,,11,59.260,0.000,556.410,0.253,5271.140,5887.063,Approved,2018-09-11 17:38:26,,30,,2018-09-11 14:20:42,
200,8,4,2018-07-01 00:00:00,,,,11,59.260,0.000,556.410,0.253,5271.140,5887.063,Approved,2018-09-11 17:38:26,,30,,2018-09-11 14:20:42,
201,9,4,2018-07-01 00:00:00,,,,11,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2018-09-11 17:38:26,,30,,2018-09-11 14:20:42,
