id,state_board_id,port_board_id,period,vessels_left,avg_turn_r_time,status,created_by_user_id,created_on,modified_by_user_id,approved_on,modified_on
1,3,27,2016,7,2,Approved,68,2017-06-16 16:14:42,,2017-11-24 12:51:13,
2,3,30,2016,36,45,Approved,69,2017-08-18 16:01:30,67,2017-08-18 17:09:57,2017-08-18 17:09:57
3,9,50,2017,0,0,Approved,113,2017-09-25 09:33:48,,2017-10-09 11:56:03,
4,9,50,2016,0,0,Approved,113,2017-09-25 09:34:04,,2017-10-09 11:53:01,
5,9,48,2017,23,2,Approved,112,2017-10-03 17:21:24,,2017-10-09 14:29:37,
6,3,29,2017,10,24,Approved,120,2017-11-22 16:43:46,,2017-12-04 17:02:43,
7,3,27,2017,7,2,Approved,68,2017-11-24 12:36:30,,2017-11-24 12:51:47,
8,9,50,2018,0,0,Approved,113,2018-01-19 13:32:22,,2018-01-19 13:43:50,
9,9,48,2018,11,4,Approved,112,2018-08-06 16:03:28,,2018-09-17 15:04:10,
10,9,52,2018,0,0,Approved,115,2018-09-14 12:59:04,,2018-09-14 15:16:39,
11,6,37,2017,1,2,Approved,167,2018-10-29 15:05:05,,2018-11-10 20:51:40,
12,6,37,2018,1,48,Approved,167,2018-10-29 15:18:11,,2018-11-10 20:51:43,
13,6,41,2017,15,10,Approved,119,2018-11-02 15:17:33,118,2018-11-03 11:00:21,2018-11-03 11:00:21
14,6,41,2018,17,10,Approved,119,2018-11-02 15:17:55,118,2018-11-03 11:00:30,2018-11-03 11:00:30
15,5,99,2018,49,31,Approval Awaited,149,2018-11-12 14:39:11,,,
16,3,27,2018,5,2,Approved,68,2018-11-20 11:15:34,,2018-11-20 11:30:08,
17,3,29,2018,0,0,Approved,120,2018-12-03 16:54:33,,2019-01-03 11:37:01,
18,3,28,2017,38,2,Approved,70,2018-12-13 16:20:56,,2018-12-13 16:28:51,
19,3,28,2018,36,3,Approved,70,2018-12-13 16:21:09,,2018-12-13 16:28:57,
20,3,29,2019,0,0,Approved,120,2019-02-11 11:52:41,,2019-04-09 12:58:31,
21,9,50,2019,0,0,Approved,113,2019-04-02 17:11:17,,2019-04-02 17:16:56,
22,9,50,2020,0,0,Approved,113,2020-05-04 11:52:59,,2020-05-04 12:04:29,
23,3,28,2020,35,3,Approved,70,2020-05-08 10:59:06,,2020-05-08 11:12:37,
24,9,48,2019,27,8,Approved,112,2020-07-10 15:42:45,,2020-07-10 15:45:32,
25,9,48,2020,17,6,Approved,112,2020-07-10 15:43:53,,2020-07-10 15:45:36,
26,3,29,2020,0,0,Approved,120,2020-07-16 10:41:25,,2020-07-16 10:47:44,
27,3,29,2021,0,0,Approved,120,2021-04-09 13:13:49,,2021-04-09 13:31:04,
28,9,48,2021,11,4,Approved,112,2022-02-11 15:16:52,,2022-02-11 15:22:25,
